"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_TIFFRewriteField","memcpy","/src/libtiff/libtiff/tif_dirwrite.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",3374,3819,31,31,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","memcpy(void *__restrict__, const void *__restrict__, size_t) -> void *","void *__restrict__ __dest, const void *__restrict__ __src, size_t __len","void *","void *"
"_TIFFRewriteField","TIFFSwabArrayOfShort","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_swab.c",3374,3819,81,81,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFSwabArrayOfShort(uint16_t *, tmsize_t) -> void","uint16_t * wp, tmsize_t n","void","void"
"_TIFFRewriteField","TIFFSwabArrayOfLong","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_swab.c",3374,3819,117,117,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFSwabArrayOfLong(uint32_t *, tmsize_t) -> void","uint32_t * lp, tmsize_t n","void","void"
"_TIFFRewriteField","_TIFFSeekOK","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_aux.c",3374,3819,406,406,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","_TIFFSeekOK(TIFF *, toff_t) -> int","TIFF * tif, toff_t off","int","int"
"_TIFFRewriteField","TIFFErrorExtR","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_error.c",3374,3819,107,107,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"_TIFFRewriteField","_TIFFfreeExt","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_open.c",3374,3819,266,266,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"_TIFFRewriteField","_TIFFCheckMalloc","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_aux.c",3374,3819,122,122,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","_TIFFCheckMalloc(TIFF *, tmsize_t, tmsize_t, const char *) -> void *","TIFF * tif, tmsize_t nmemb, tmsize_t elem_size, const char * what","void *","void *"
"_TIFFRewriteField","TIFFSwabArrayOfLong8","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_swab.c",3374,3819,138,138,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFSwabArrayOfLong8(uint64_t *, tmsize_t) -> void","uint64_t * lp, tmsize_t n","void","void"
"_TIFFRewriteField","TIFFSwabLong8","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_swab.c",3374,3819,60,60,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFSwabLong8(uint64_t *) -> void","uint64_t * lp","void","void"
"_TIFFRewriteField","TIFFSwabLong","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_swab.c",3374,3819,45,45,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFSwabLong(uint32_t *) -> void","uint32_t * lp","void","void"
"_TIFFRewriteField","TIFFSwabShort","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_swab.c",3374,3819,33,33,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFSwabShort(uint16_t *) -> void","uint16_t * wp","void","void"
"_TIFFRewriteField","TIFFDataWidth","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_dirinfo.c",3374,3819,637,637,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFDataWidth(TIFFDataType) -> int","TIFFDataType type","int","int"
"_TIFFRewriteField","TIFFTileSize64","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_tile.c",3374,3819,249,249,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFTileSize64(TIFF *) -> uint64_t","TIFF * tif","uint64_t","unsigned long"
"_TIFFRewriteField","TIFFStripSize64","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_strip.c",3374,3819,195,195,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFStripSize64(TIFF *) -> uint64_t","TIFF * tif","uint64_t","unsigned long"
"_TIFFRewriteField","TIFFFindField","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_dirinfo.c",3374,3819,794,794,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFFindField(TIFF *, uint32_t, TIFFDataType) -> const TIFFField *","TIFF * tif, uint32_t tag, TIFFDataType dt","const TIFFField *","_TIFFField *"
"_TIFFRewriteField","TIFFFindField","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_dirinfo.c",3374,3819,794,794,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFFindField(TIFF *, uint32_t, TIFFDataType) -> const TIFFField *","TIFF * tif, uint32_t tag, TIFFDataType dt","const TIFFField *","_TIFFField *"
"_TIFFRewriteField","TIFFFindField","/src/libtiff/libtiff/tif_dirwrite.c","/src/libtiff/libtiff/tif_dirinfo.c",3374,3819,794,794,"_TIFFRewriteField(TIFF *, uint16_t, TIFFDataType, tmsize_t, void *) -> int","TIFF * tif, uint16_t tag, TIFFDataType in_datatype, tmsize_t count, void * data","int","int","TIFFFindField(TIFF *, uint32_t, TIFFDataType) -> const TIFFField *","TIFF * tif, uint32_t tag, TIFFDataType dt","const TIFFField *","_TIFFField *"
