"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Fax3VGetField","__assert_fail","/src/libtiff/libtiff/tif_fax3.c","/usr/include/assert.h",1347,1377,69,69,"Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"Fax3VGetField","_TIFFVGetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_dir.c",1347,1377,1211,1211,"Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VGetField","Fax3VGetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_fax3.c",1347,1377,1346,1346,"Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VGetField","JPEGVGetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_jpeg.c",1347,1377,2633,2633,"Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","JPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VGetField","LogLuvVGetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_luv.c",1347,1377,1762,1762,"Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LogLuvVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VGetField","LZMAVGetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_lzma.c",1347,1377,437,437,"Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LZMAVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VGetField","OJPEGVGetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_ojpeg.c",1347,1377,522,522,"Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VGetField","PixarLogVGetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_pixarlog.c",1347,1377,1580,1580,"Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PixarLogVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VGetField","PredictorVGetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_predict.c",1347,1377,949,949,"Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VGetField","ZIPVGetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_zip.c",1347,1377,654,654,"Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","ZIPVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
