"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"Fax3VSetField","__assert_fail","/src/libtiff/libtiff/tif_fax3.c","/usr/include/assert.h",1299,1344,69,69,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"Fax3VSetField","TIFFFieldWithTag","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_dirinfo.c",1299,1344,844,844,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFFieldWithTag(TIFF *, uint32_t) -> const TIFFField *","TIFF * tif, uint32_t tag","const TIFFField *","_TIFFField *"
"Fax3VSetField","TIFFFieldWithTag","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_dirinfo.c",1299,1344,844,844,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFFieldWithTag(TIFF *, uint32_t) -> const TIFFField *","TIFF * tif, uint32_t tag","const TIFFField *","_TIFFField *"
"Fax3VSetField","TIFFFieldWithTag","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_dirinfo.c",1299,1344,844,844,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFFieldWithTag(TIFF *, uint32_t) -> const TIFFField *","TIFF * tif, uint32_t tag","const TIFFField *","_TIFFField *"
"Fax3VSetField","TIFFFieldWithTag","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_dirinfo.c",1299,1344,844,844,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFFieldWithTag(TIFF *, uint32_t) -> const TIFFField *","TIFF * tif, uint32_t tag","const TIFFField *","_TIFFField *"
"Fax3VSetField","_TIFFVSetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_dir.c",1299,1344,220,220,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VSetField","Fax3VSetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_fax3.c",1299,1344,1298,1298,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VSetField","JPEGVSetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_jpeg.c",1299,1344,2573,2573,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","JPEGVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VSetField","LogLuvVSetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_luv.c",1299,1344,1696,1696,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LogLuvVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VSetField","LZMAVSetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_lzma.c",1299,1344,410,410,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VSetField","OJPEGVSetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_ojpeg.c",1299,1344,564,564,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","OJPEGVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VSetField","PixarLogVSetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_pixarlog.c",1299,1344,1513,1513,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VSetField","PredictorVSetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_predict.c",1299,1344,929,929,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PredictorVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"Fax3VSetField","ZIPVSetField","/src/libtiff/libtiff/tif_fax3.c","/src/libtiff/libtiff/tif_zip.c",1299,1344,587,587,"Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","ZIPVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
