"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFRGBAImageBegin","snprintf","/src/libtiff/libtiff/tif_getimage.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",312,585,64,64,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __n, const char *__restrict__ __fmt","int","int"
"TIFFRGBAImageBegin","TIFFGetField","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_dir.c",312,585,1581,1581,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFFRGBAImageBegin","TIFFGetFieldDefaulted","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_aux.c",312,585,377,377,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFFRGBAImageBegin","TIFFSetField","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_dir.c",312,585,1145,1145,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFFRGBAImageBegin","_TIFFmallocExt","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_open.c",312,585,164,164,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFRGBAImageBegin","_TIFFmemcpy","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_unix.c",312,585,351,351,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","_TIFFmemcpy(void *, const void *, tmsize_t) -> void","void * d, const void * s, tmsize_t c","void","void"
"TIFFRGBAImageBegin","TIFFRGBAImageEnd","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_getimage.c",312,585,253,253,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","TIFFRGBAImageEnd(TIFFRGBAImage *) -> void","TIFFRGBAImage * img","void","void"
"TIFFRGBAImageBegin","TIFFRGBAImageOK","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_getimage.c",312,585,83,83,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","TIFFRGBAImageOK(TIFF *, char[1024]) -> int","TIFF * tif, char[1024] emsg","int","int"
"TIFFRGBAImageBegin","PickSeparateCase","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_getimage.c",312,585,3097,3097,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","PickSeparateCase(TIFFRGBAImage *) -> int","TIFFRGBAImage * img","int","int"
"TIFFRGBAImageBegin","PickContigCase","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_getimage.c",312,585,2933,2933,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","PickContigCase(TIFFRGBAImage *) -> int","TIFFRGBAImage * img","int","int"
"TIFFRGBAImageBegin","isCCITTCompression","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_getimage.c",312,585,300,300,"TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int","isCCITTCompression(TIFF *) -> int","TIFF * tif","int","int"
