"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadRGBATileExt","memmove","/src/libtiff/libtiff/tif_getimage.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",3300,3412,38,38,"TIFFReadRGBATileExt(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t col, uint32_t row, uint32_t * raster, int stop_on_error","int","int","memmove(void *, const void *, size_t) -> void *","void * __dest, const void * __src, size_t __len","void *","void *"
"TIFFReadRGBATileExt","TIFFGetFieldDefaulted","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_aux.c",3300,3412,377,377,"TIFFReadRGBATileExt(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t col, uint32_t row, uint32_t * raster, int stop_on_error","int","int","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFFReadRGBATileExt","TIFFFileName","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_open.c",3300,3412,788,788,"TIFFReadRGBATileExt(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t col, uint32_t row, uint32_t * raster, int stop_on_error","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"TIFFReadRGBATileExt","TIFFIsTiled","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_open.c",3300,3412,849,849,"TIFFReadRGBATileExt(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t col, uint32_t row, uint32_t * raster, int stop_on_error","int","int","TIFFIsTiled(TIFF *) -> int","TIFF * tif","int","int"
"TIFFReadRGBATileExt","_TIFFmemset","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_unix.c",3300,3412,349,349,"TIFFReadRGBATileExt(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t col, uint32_t row, uint32_t * raster, int stop_on_error","int","int","_TIFFmemset(void *, int, tmsize_t) -> void","void * p, int v, tmsize_t c","void","void"
"TIFFReadRGBATileExt","TIFFErrorExtR","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_error.c",3300,3412,107,107,"TIFFReadRGBATileExt(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t col, uint32_t row, uint32_t * raster, int stop_on_error","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadRGBATileExt","TIFFRGBAImageEnd","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_getimage.c",3300,3412,253,253,"TIFFReadRGBATileExt(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t col, uint32_t row, uint32_t * raster, int stop_on_error","int","int","TIFFRGBAImageEnd(TIFFRGBAImage *) -> void","TIFFRGBAImage * img","void","void"
"TIFFReadRGBATileExt","TIFFRGBAImageGet","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_getimage.c",3300,3412,587,587,"TIFFReadRGBATileExt(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t col, uint32_t row, uint32_t * raster, int stop_on_error","int","int","TIFFRGBAImageGet(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int"
"TIFFReadRGBATileExt","TIFFRGBAImageBegin","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_getimage.c",3300,3412,310,310,"TIFFReadRGBATileExt(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t col, uint32_t row, uint32_t * raster, int stop_on_error","int","int","TIFFRGBAImageBegin(TIFFRGBAImage *, TIFF *, int, char[1024]) -> int","TIFFRGBAImage * img, TIFF * tif, int stop, char[1024] emsg","int","int"
"TIFFReadRGBATileExt","TIFFRGBAImageOK","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_getimage.c",3300,3412,83,83,"TIFFReadRGBATileExt(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t col, uint32_t row, uint32_t * raster, int stop_on_error","int","int","TIFFRGBAImageOK(TIFF *, char[1024]) -> int","TIFF * tif, char[1024] emsg","int","int"
