"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"gtStripSeparate","TIFFGetFieldDefaulted","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_aux.c",1180,1345,377,377,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"gtStripSeparate","TIFFFileName","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_open.c",1180,1345,788,788,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"gtStripSeparate","TIFFStripSize","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_strip.c",1180,1345,203,203,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"gtStripSeparate","TIFFStripSize","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_strip.c",1180,1345,203,203,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"gtStripSeparate","TIFFReadEncodedStrip","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_read.c",1180,1345,525,525,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"gtStripSeparate","TIFFReadEncodedStrip","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_read.c",1180,1345,525,525,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"gtStripSeparate","TIFFComputeStrip","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_strip.c",1180,1345,35,35,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","TIFFComputeStrip(TIFF *, uint32_t, uint16_t) -> uint32_t","TIFF * tif, uint32_t row, uint16_t sample","uint32_t","unsigned int"
"gtStripSeparate","TIFFErrorExtR","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_error.c",1180,1345,107,107,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"gtStripSeparate","_TIFFfreeExt","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_open.c",1180,1345,266,266,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"gtStripSeparate","_TIFFMultiplySSize","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_aux.c",1180,1345,59,59,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","_TIFFMultiplySSize(TIFF *, tmsize_t, tmsize_t, const char *) -> tmsize_t","TIFF * tif, tmsize_t first, tmsize_t second, const char * where","tmsize_t","signed long"
"gtStripSeparate","_TIFFMultiplySSize","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_aux.c",1180,1345,59,59,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","_TIFFMultiplySSize(TIFF *, tmsize_t, tmsize_t, const char *) -> tmsize_t","TIFF * tif, tmsize_t first, tmsize_t second, const char * where","tmsize_t","signed long"
"gtStripSeparate","TIFFScanlineSize","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_strip.c",1180,1345,342,342,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"gtStripSeparate","TIFFScanlineSize","/src/libtiff/libtiff/tif_getimage.c","/src/libtiff/libtiff/tif_strip.c",1180,1345,342,342,"gtStripSeparate(TIFFRGBAImage *, uint32_t *, uint32_t, uint32_t) -> int","TIFFRGBAImage * img, uint32_t * raster, uint32_t w, uint32_t h","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
