"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"JPEGDecode","memset","/src/libtiff/libtiff/tif_jpeg.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",1441,1496,59,59,"JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"JPEGDecode","TIFFWarningExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_warning.c",1441,1496,80,80,"JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFWarningExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGDecode","TIFFjpeg_finish_decompress","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1441,1496,450,450,"JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFjpeg_finish_decompress(JPEGState *) -> int","JPEGState * sp","int","int"
"JPEGDecode","TIFFjpeg_read_scanlines","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1441,1496,422,422,"JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFjpeg_read_scanlines(JPEGState *, JSAMPARRAY, int) -> int","JPEGState * sp, JSAMPARRAY scanlines, int max_lines","int","int"
"JPEGDecode","memset","/src/libtiff/libtiff/tif_jpeg.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",1502,1609,59,59,"JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"JPEGDecode","_TIFFmallocExt","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_open.c",1502,1609,164,164,"JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"JPEGDecode","_TIFFfreeExt","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_open.c",1502,1609,266,266,"JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"JPEGDecode","TIFFWarningExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_warning.c",1502,1609,80,80,"JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFWarningExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGDecode","TIFFjpeg_finish_decompress","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1502,1609,450,450,"JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFjpeg_finish_decompress(JPEGState *) -> int","JPEGState * sp","int","int"
"JPEGDecode","TIFFjpeg_read_scanlines","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1502,1609,422,422,"JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFjpeg_read_scanlines(JPEGState *, J12SAMPARRAY, int) -> int","JPEGState * sp, J12SAMPARRAY scanlines, int max_lines","int","int"
