"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"JPEGEncode","__assert_fail","/src/libtiff/libtiff/tif_jpeg.c","/usr/include/assert.h",2312,2379,69,69,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"JPEGEncode","TIFFErrorExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_error.c",2312,2379,107,107,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGEncode","_TIFFmallocExt","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_open.c",2312,2379,164,164,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"JPEGEncode","_TIFFfreeExt","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_open.c",2312,2379,266,266,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"JPEGEncode","TIFFWarningExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_warning.c",2312,2379,80,80,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFWarningExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGEncode","TIFFjpeg_write_scanlines","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",2312,2379,359,359,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFjpeg_write_scanlines(JPEGState *, JSAMPARRAY, int) -> int","JPEGState * sp, JSAMPARRAY scanlines, int num_lines","int","int"
"JPEGEncode","__assert_fail","/src/libtiff/libtiff/tif_jpeg.c","/usr/include/assert.h",2312,2379,69,69,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"JPEGEncode","TIFFErrorExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_error.c",2312,2379,107,107,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGEncode","_TIFFmallocExt","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_open.c",2312,2379,164,164,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"JPEGEncode","_TIFFfreeExt","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_open.c",2312,2379,266,266,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"JPEGEncode","TIFFWarningExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_warning.c",2312,2379,80,80,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFWarningExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGEncode","TIFFjpeg_write_scanlines","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",2312,2379,359,359,"JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int","TIFFjpeg_write_scanlines(JPEGState *, J12SAMPARRAY, int) -> int","JPEGState * sp, J12SAMPARRAY scanlines, int num_lines","int","int"
