"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"JPEGFixupTagsSubsamplingReadByte","__assert_fail","/src/libtiff/libtiff/tif_jpeg.c","/usr/include/assert.h",995,1025,69,69,"JPEGFixupTagsSubsamplingReadByte(JPEGFixupTagsSubsamplingData *, uint8_t *) -> int","JPEGFixupTagsSubsamplingData * data, uint8_t * result","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"JPEGFixupTagsSubsamplingReadByte","_tiffosReadProc","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_stream.cxx",995,1025,106,106,"JPEGFixupTagsSubsamplingReadByte(JPEGFixupTagsSubsamplingData *, uint8_t *) -> int","JPEGFixupTagsSubsamplingData * data, uint8_t * result","int","int","_tiffosReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"JPEGFixupTagsSubsamplingReadByte","_tiffosReadProc","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_stream.cxx",995,1025,106,106,"JPEGFixupTagsSubsamplingReadByte(JPEGFixupTagsSubsamplingData *, uint8_t *) -> int","JPEGFixupTagsSubsamplingData * data, uint8_t * result","int","int","_tiffosReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"JPEGFixupTagsSubsamplingReadByte","_tiffosSeekProc","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_stream.cxx",995,1025,140,140,"JPEGFixupTagsSubsamplingReadByte(JPEGFixupTagsSubsamplingData *, uint8_t *) -> int","JPEGFixupTagsSubsamplingData * data, uint8_t * result","int","int","_tiffosSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long"
"JPEGFixupTagsSubsamplingReadByte","_tiffisReadProc","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_stream.cxx",995,1025,108,108,"JPEGFixupTagsSubsamplingReadByte(JPEGFixupTagsSubsamplingData *, uint8_t *) -> int","JPEGFixupTagsSubsamplingData * data, uint8_t * result","int","int","_tiffisReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"JPEGFixupTagsSubsamplingReadByte","_tiffisReadProc","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_stream.cxx",995,1025,108,108,"JPEGFixupTagsSubsamplingReadByte(JPEGFixupTagsSubsamplingData *, uint8_t *) -> int","JPEGFixupTagsSubsamplingData * data, uint8_t * result","int","int","_tiffisReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"JPEGFixupTagsSubsamplingReadByte","_tiffisSeekProc","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_stream.cxx",995,1025,241,241,"JPEGFixupTagsSubsamplingReadByte(JPEGFixupTagsSubsamplingData *, uint8_t *) -> int","JPEGFixupTagsSubsamplingData * data, uint8_t * result","int","int","_tiffisSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long"
"JPEGFixupTagsSubsamplingReadByte","_tiffReadProc","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_unix.c",995,1025,68,68,"JPEGFixupTagsSubsamplingReadByte(JPEGFixupTagsSubsamplingData *, uint8_t *) -> int","JPEGFixupTagsSubsamplingData * data, uint8_t * result","int","int","_tiffReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"JPEGFixupTagsSubsamplingReadByte","_tiffReadProc","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_unix.c",995,1025,68,68,"JPEGFixupTagsSubsamplingReadByte(JPEGFixupTagsSubsamplingData *, uint8_t *) -> int","JPEGFixupTagsSubsamplingData * data, uint8_t * result","int","int","_tiffReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"JPEGFixupTagsSubsamplingReadByte","_tiffSeekProc","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_unix.c",995,1025,127,127,"JPEGFixupTagsSubsamplingReadByte(JPEGFixupTagsSubsamplingData *, uint8_t *) -> int","JPEGFixupTagsSubsamplingData * data, uint8_t * result","int","int","_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long"
