"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"JPEGPreEncode","__assert_fail","/src/libtiff/libtiff/tif_jpeg.c","/usr/include/assert.h",2148,2305,69,69,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"JPEGPreEncode","TIFFErrorExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_error.c",2148,2305,107,107,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGPreEncode","TIFFTileRowSize","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_tile.c",2148,2305,177,177,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","TIFFTileRowSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"JPEGPreEncode","TIFFTileRowSize","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_tile.c",2148,2305,177,177,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","TIFFTileRowSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"JPEGPreEncode","TIFFScanlineSize","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_strip.c",2148,2305,342,342,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"JPEGPreEncode","TIFFScanlineSize","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_strip.c",2148,2305,342,342,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"JPEGPreEncode","_notConfigured","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_codec.c",2148,2305,110,110,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","_notConfigured(TIFF *) -> int","TIFF * tif","int","int"
"JPEGPreEncode","_TIFFtrue","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_compress.c",2148,2305,135,135,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","_TIFFtrue(TIFF *) -> int","TIFF * tif","int","int"
"JPEGPreEncode","Fax3SetupState","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_fax3.c",2148,2305,522,522,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","Fax3SetupState(TIFF *) -> int","TIFF * tif","int","int"
"JPEGPreEncode","JBIGSetupEncode","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jbig.c",2148,2305,128,128,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","JBIGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"JPEGPreEncode","JPEGSetupEncode","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",2148,2305,1909,1909,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"JPEGPreEncode","TIFFjpeg_set_colorspace","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",2148,2305,337,337,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","TIFFjpeg_set_colorspace(JPEGState *, J_COLOR_SPACE) -> int","JPEGState * sp, J_COLOR_SPACE colorspace","int","int"
"JPEGPreEncode","TIFFjpeg_set_quality","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",2148,2305,342,342,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","TIFFjpeg_set_quality(JPEGState *, int, boolean) -> int","JPEGState * sp, int quality, boolean force_baseline","int","int"
"JPEGPreEncode","suppress_quant_table","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",2148,2305,1820,1820,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","suppress_quant_table(JPEGState *, int) -> void","JPEGState * sp, int tblno","void","void"
"JPEGPreEncode","unsuppress_quant_table","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",2148,2305,1812,1812,"JPEGPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","unsuppress_quant_table(JPEGState *, int) -> void","JPEGState * sp, int tblno","void","void"
