"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"JPEGSetupDecode","__assert_fail","/src/libtiff/libtiff/tif_jpeg.c","/usr/include/assert.h",1072,1121,69,69,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"JPEGSetupDecode","TIFFErrorExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_error.c",1072,1121,107,107,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGSetupDecode","JPEGInitializeLibJPEG","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1072,1121,2720,2720,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","JPEGInitializeLibJPEG(TIFF *, int) -> int","TIFF * tif, int decompress","int","int"
"JPEGSetupDecode","TIFFReInitJPEG_12","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg_12.c",1072,1121,30,30,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","TIFFReInitJPEG_12(TIFF *, const JPEGOtherSettings *, int, int) -> int","TIFF * tif, const JPEGOtherSettings * otherSettings, int scheme, int is_encode","int","int"
"JPEGSetupDecode","TIFFjpeg_read_header","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1072,1121,397,397,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","TIFFjpeg_read_header(JPEGState *, boolean) -> int","JPEGState * sp, boolean require_image","int","int"
"JPEGSetupDecode","TIFFjpeg_data_src","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1072,1121,679,679,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","TIFFjpeg_data_src(JPEGState *) -> void","JPEGState * sp","void","void"
"JPEGSetupDecode","TIFFjpeg_tables_src","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1072,1121,704,704,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","TIFFjpeg_tables_src(JPEGState *) -> void","JPEGState * sp","void","void"
"JPEGSetupDecode","__assert_fail","/src/libtiff/libtiff/tif_jpeg.c","/usr/include/assert.h",1072,1121,69,69,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"JPEGSetupDecode","TIFFErrorExtR","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_error.c",1072,1121,107,107,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"JPEGSetupDecode","JPEGInitializeLibJPEG","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1072,1121,2720,2720,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","JPEGInitializeLibJPEG(TIFF *, int) -> int","TIFF * tif, int decompress","int","int"
"JPEGSetupDecode","TIFFjpeg_read_header","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1072,1121,397,397,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","TIFFjpeg_read_header(JPEGState *, boolean) -> int","JPEGState * sp, boolean require_image","int","int"
"JPEGSetupDecode","TIFFjpeg_data_src","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1072,1121,679,679,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","TIFFjpeg_data_src(JPEGState *) -> void","JPEGState * sp","void","void"
"JPEGSetupDecode","TIFFjpeg_tables_src","/src/libtiff/libtiff/tif_jpeg.c","/src/libtiff/libtiff/tif_jpeg.c",1072,1121,704,704,"JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int","TIFFjpeg_tables_src(JPEGState *) -> void","JPEGState * sp","void","void"
