"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"std_fill_input_buffer","my_emit_message","/src/libtiff/libtiff/tif_jpeg.c","/src/libjpeg-turbo/src/cjpeg.c",619,652,601,601,"std_fill_input_buffer(j_decompress_ptr) -> boolean","j_decompress_ptr cinfo","boolean","int","my_emit_message(j_common_ptr, int) -> void","j_common_ptr cinfo, int msg_level","void","void"
"std_fill_input_buffer","my_emit_message","/src/libtiff/libtiff/tif_jpeg.c","/src/libjpeg-turbo/src/cjpeg.c",619,652,601,601,"std_fill_input_buffer(j_decompress_ptr) -> boolean","j_decompress_ptr cinfo","boolean","int","my_emit_message(j_common_ptr, int) -> void","j_common_ptr cinfo, int msg_level","void","void"
"std_fill_input_buffer","my_emit_message","/src/libtiff/libtiff/tif_jpeg.c","/src/libjpeg-turbo/src/djpeg.c",619,652,520,520,"std_fill_input_buffer(j_decompress_ptr) -> boolean","j_decompress_ptr cinfo","boolean","int","my_emit_message(j_common_ptr, int) -> void","j_common_ptr cinfo, int msg_level","void","void"
"std_fill_input_buffer","my_emit_message","/src/libtiff/libtiff/tif_jpeg.c","/src/libjpeg-turbo/src/djpeg.c",619,652,520,520,"std_fill_input_buffer(j_decompress_ptr) -> boolean","j_decompress_ptr cinfo","boolean","int","my_emit_message(j_common_ptr, int) -> void","j_common_ptr cinfo, int msg_level","void","void"
"std_fill_input_buffer","emit_message","/src/libtiff/libtiff/tif_jpeg.c","/src/libjpeg-turbo/src/jerror.c",619,652,125,125,"std_fill_input_buffer(j_decompress_ptr) -> boolean","j_decompress_ptr cinfo","boolean","int","emit_message(j_common_ptr, int) -> void","j_common_ptr cinfo, int msg_level","void","void"
"std_fill_input_buffer","emit_message","/src/libtiff/libtiff/tif_jpeg.c","/src/libjpeg-turbo/src/jerror.c",619,652,125,125,"std_fill_input_buffer(j_decompress_ptr) -> boolean","j_decompress_ptr cinfo","boolean","int","emit_message(j_common_ptr, int) -> void","j_common_ptr cinfo, int msg_level","void","void"
"std_fill_input_buffer","my_emit_message","/src/libtiff/libtiff/tif_jpeg.c","/src/libjpeg-turbo/src/jpegtran.c",619,652,438,438,"std_fill_input_buffer(j_decompress_ptr) -> boolean","j_decompress_ptr cinfo","boolean","int","my_emit_message(j_common_ptr, int) -> void","j_common_ptr cinfo, int msg_level","void","void"
"std_fill_input_buffer","my_emit_message","/src/libtiff/libtiff/tif_jpeg.c","/src/libjpeg-turbo/src/jpegtran.c",619,652,438,438,"std_fill_input_buffer(j_decompress_ptr) -> boolean","j_decompress_ptr cinfo","boolean","int","my_emit_message(j_common_ptr, int) -> void","j_common_ptr cinfo, int msg_level","void","void"
"std_fill_input_buffer","my_emit_message","/src/libtiff/libtiff/tif_jpeg.c","/src/libjpeg-turbo/src/turbojpeg.c",619,652,91,91,"std_fill_input_buffer(j_decompress_ptr) -> boolean","j_decompress_ptr cinfo","boolean","int","my_emit_message(j_common_ptr, int) -> void","j_common_ptr cinfo, int msg_level","void","void"
"std_fill_input_buffer","my_emit_message","/src/libtiff/libtiff/tif_jpeg.c","/src/libjpeg-turbo/src/turbojpeg.c",619,652,91,91,"std_fill_input_buffer(j_decompress_ptr) -> boolean","j_decompress_ptr cinfo","boolean","int","my_emit_message(j_common_ptr, int) -> void","j_common_ptr cinfo, int msg_level","void","void"
