"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"LogL16Decode","__assert_fail","/src/libtiff/libtiff/tif_luv.c","/usr/include/assert.h",184,254,69,69,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"LogL16Decode","_TIFFmemset","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_unix.c",184,254,349,349,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","_TIFFmemset(void *, int, tmsize_t) -> void","void * p, int v, tmsize_t c","void","void"
"LogL16Decode","TIFFErrorExtR","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_error.c",184,254,107,107,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"LogL16Decode","_logLuvNop","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1311,1311,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","_logLuvNop(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","Luv24fromXYZ","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1122,1122,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv24fromXYZ(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","Luv24fromLuv48","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1134,1134,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv24fromLuv48(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","Luv32fromXYZ","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1270,1270,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv32fromXYZ(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","Luv32fromLuv48","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1282,1282,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv32fromLuv48(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","L16fromY","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,837,837,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","L16fromY(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","Luv24toXYZ","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1073,1073,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv24toXYZ(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","Luv24toLuv48","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1086,1086,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv24toLuv48(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","Luv24toRGB","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1107,1107,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv24toRGB(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","Luv32toXYZ","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1225,1225,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv32toXYZ(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","Luv32toLuv48","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1237,1237,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv32toLuv48(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","Luv32toRGB","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,1255,1255,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv32toRGB(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","L16toY","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,814,814,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","L16toY(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogL16Decode","L16toGry","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",184,254,823,823,"LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","L16toGry(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
