"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"LogLuvDecode24","__assert_fail","/src/libtiff/libtiff/tif_luv.c","/usr/include/assert.h",260,307,69,69,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"LogLuvDecode24","TIFFErrorExtR","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_error.c",260,307,107,107,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"LogLuvDecode24","_logLuvNop","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1311,1311,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","_logLuvNop(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","Luv24fromXYZ","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1122,1122,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv24fromXYZ(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","Luv24fromLuv48","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1134,1134,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv24fromLuv48(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","Luv32fromXYZ","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1270,1270,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv32fromXYZ(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","Luv32fromLuv48","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1282,1282,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv32fromLuv48(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","L16fromY","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,837,837,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","L16fromY(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","Luv24toXYZ","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1073,1073,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv24toXYZ(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","Luv24toLuv48","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1086,1086,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv24toLuv48(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","Luv24toRGB","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1107,1107,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv24toRGB(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","Luv32toXYZ","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1225,1225,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv32toXYZ(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","Luv32toLuv48","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1237,1237,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv32toLuv48(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","Luv32toRGB","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,1255,1255,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","Luv32toRGB(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","L16toY","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,814,814,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","L16toY(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
"LogLuvDecode24","L16toGry","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",260,307,823,823,"LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int","L16toGry(LogLuvState *, uint8_t *, tmsize_t) -> void","LogLuvState * sp, uint8_t * op, tmsize_t n","void","void"
