"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"LogLuvEncodeStrip","__assert_fail","/src/libtiff/libtiff/tif_luv.c","/usr/include/assert.h",715,728,69,69,"LogLuvEncodeStrip(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"LogLuvEncodeStrip","TIFFScanlineSize","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_strip.c",715,728,342,342,"LogLuvEncodeStrip(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"LogLuvEncodeStrip","TIFFScanlineSize","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_strip.c",715,728,342,342,"LogLuvEncodeStrip(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"LogLuvEncodeStrip","_TIFFNoRowEncode","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_compress.c",715,728,51,51,"LogLuvEncodeStrip(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int","_TIFFNoRowEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * pp, tmsize_t cc, uint16_t s","int","int"
"LogLuvEncodeStrip","DumpModeEncode","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_dumpmode.c",715,728,41,41,"LogLuvEncodeStrip(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int","DumpModeEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * pp, tmsize_t cc, uint16_t s","int","int"
"LogLuvEncodeStrip","Fax4Encode","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_fax3.c",715,728,1628,1628,"LogLuvEncodeStrip(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int","Fax4Encode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int"
"LogLuvEncodeStrip","Fax3Encode","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_fax3.c",715,728,1168,1168,"LogLuvEncodeStrip(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int","Fax3Encode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int"
"LogLuvEncodeStrip","JPEGEncode","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_jpeg.c",715,728,2311,2311,"LogLuvEncodeStrip(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int","JPEGEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int"
"LogLuvEncodeStrip","JPEGEncodeRaw","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_jpeg.c",715,728,2385,2385,"LogLuvEncodeStrip(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int","JPEGEncodeRaw(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int"
"LogLuvEncodeStrip","LogLuvEncode24","/src/libtiff/libtiff/tif_luv.c","/src/libtiff/libtiff/tif_luv.c",715,728,544,544,"LogLuvEncodeStrip(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int","LogLuvEncode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * bp, tmsize_t cc, uint16_t s","int","int"
