"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"LZMAPreEncode","__assert_fail","/src/libtiff/libtiff/tif_lzma.c","/usr/include/assert.h",274,300,69,69,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"LZMAPreEncode","TIFFErrorExtR","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_error.c",274,300,107,107,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"LZMAPreEncode","_notConfigured","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_codec.c",274,300,110,110,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","_notConfigured(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","_TIFFtrue","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_compress.c",274,300,135,135,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","_TIFFtrue(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","Fax3SetupState","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_fax3.c",274,300,522,522,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","Fax3SetupState(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","JBIGSetupEncode","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_jbig.c",274,300,128,128,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","JBIGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","JPEGSetupEncode","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_jpeg.c",274,300,1909,1909,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","LogLuvSetupEncode","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_luv.c",274,300,1577,1577,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","LogLuvSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","lzma_stream_encoder","/src/libtiff/libtiff/tif_lzma.c","/usr/include/lzma/container.h",274,300,314,314,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","lzma_stream_encoder(lzma_stream *, const lzma_filter *, lzma_check) -> lzma_ret","lzma_stream * strm, const lzma_filter * filters, lzma_check check","lzma_ret","(unnamed enum)"
"LZMAPreEncode","LZMASetupEncode","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_lzma.c",274,300,255,255,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","LZMASetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","LZMAStrerror","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_lzma.c",274,300,70,70,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","LZMAStrerror(lzma_ret) -> const char *","lzma_ret ret","const char *","char *"
"LZMAPreEncode","LZWSetupEncode","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_lzw.c",274,300,1024,1024,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","LZWSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","OJPEGSetupEncode","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_ojpeg.c",274,300,1000,1000,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","OJPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","PixarLogSetupEncode","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_pixarlog.c",274,300,994,994,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","PixarLogSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","PredictorSetupEncode","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_predict.c",274,300,226,226,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"LZMAPreEncode","ZIPSetupEncode","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_zip.c",274,300,315,315,"LZMAPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","ZIPSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
