"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"LZMAVSetField","TIFFErrorExtR","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_error.c",411,435,107,107,"LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"LZMAVSetField","_TIFFVSetField","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_dir.c",411,435,220,220,"LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"LZMAVSetField","Fax3VSetField","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_fax3.c",411,435,1298,1298,"LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"LZMAVSetField","JPEGVSetField","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_jpeg.c",411,435,2573,2573,"LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","JPEGVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"LZMAVSetField","LogLuvVSetField","/src/libtiff/libtiff/tif_lzma.c","/src/libtiff/libtiff/tif_luv.c",411,435,1696,1696,"LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LogLuvVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"LZMAVSetField","lzma_lzma_preset","/src/libtiff/libtiff/tif_lzma.c","/usr/include/lzma/lzma12.h",411,435,7,7,"LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","lzma_lzma_preset(lzma_options_lzma *, uint32_t) -> char","lzma_options_lzma * options, uint32_t preset","char","char"
"LZMAVSetField","lzma_lzma_preset","/src/libtiff/libtiff/tif_lzma.c","/usr/include/lzma/lzma12.h",411,435,7,7,"LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","lzma_lzma_preset(lzma_options_lzma *, uint32_t) -> char","lzma_options_lzma * options, uint32_t preset","char","unsigned char"
"LZMAVSetField","lzma_lzma_preset","/src/libtiff/libtiff/tif_lzma.c","/usr/include/lzma/lzma12.h",411,435,7,7,"LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","lzma_lzma_preset(lzma_options_lzma *, uint32_t) -> char","lzma_options_lzma * options, uint32_t preset","lzma_bool","char"
"LZMAVSetField","lzma_lzma_preset","/src/libtiff/libtiff/tif_lzma.c","/usr/include/lzma/lzma12.h",411,435,7,7,"LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","lzma_lzma_preset(lzma_options_lzma *, uint32_t) -> char","lzma_options_lzma * options, uint32_t preset","lzma_bool","unsigned char"
"LZMAVSetField","lzma_lzma_preset","/src/libtiff/libtiff/tif_lzma.c","/usr/include/lzma/lzma12.h",411,435,7,7,"LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","lzma_lzma_preset(lzma_options_lzma *, uint32_t) -> lzma_bool","lzma_options_lzma * options, uint32_t preset","char","char"
