"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"LZWPreDecode","__assert_fail","/src/libtiff/libtiff/tif_lzw.c","/usr/include/assert.h",246,322,69,69,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"LZWPreDecode","TIFFWarningExtR","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_warning.c",246,322,80,80,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","TIFFWarningExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"LZWPreDecode","_notConfigured","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_codec.c",246,322,110,110,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","_notConfigured(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","_TIFFtrue","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_compress.c",246,322,135,135,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","_TIFFtrue(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","Fax3SetupState","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_fax3.c",246,322,522,522,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","Fax3SetupState(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","JBIGSetupDecode","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_jbig.c",246,322,38,38,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","JBIGSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","JPEGSetupDecode","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_jpeg.c",246,322,1071,1071,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","LogLuvSetupDecode","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_luv.c",246,322,1508,1508,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","LogLuvSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","LZMASetupDecode","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_lzma.c",246,322,109,109,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","LZMASetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","LZWSetupDecode","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_lzw.c",246,322,183,183,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","LZWSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","OJPEGSetupDecode","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_ojpeg.c",246,322,701,701,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","OJPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","PixarLogSetupDecode","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_pixarlog.c",246,322,739,739,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","PredictorSetupDecode","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_predict.c",246,322,123,123,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","ThunderSetupDecode","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_thunder.c",246,322,69,69,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","ThunderSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"LZWPreDecode","ZIPSetupDecode","/src/libtiff/libtiff/tif_lzw.c","/src/libtiff/libtiff/tif_zip.c",246,322,101,101,"LZWPreDecode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","ZIPSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
