"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"OJPEGReadBufferFill","__assert_fail","/src/libtiff/libtiff/tif_ojpeg.c","/usr/include/assert.h",2205,2295,69,69,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"OJPEGReadBufferFill","TIFFGetStrileByteCountWithErr","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_dirread.c",2205,2295,8361,8361,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","TIFFGetStrileByteCountWithErr(TIFF *, uint32_t, int *) -> uint64_t","TIFF * tif, uint32_t strile, int * pbErr","uint64_t","unsigned long"
"OJPEGReadBufferFill","TIFFGetStrileOffsetWithErr","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_dirread.c",2205,2295,8344,8344,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","TIFFGetStrileOffsetWithErr(TIFF *, uint32_t, int *) -> uint64_t","TIFF * tif, uint32_t strile, int * pbErr","uint64_t","unsigned long"
"OJPEGReadBufferFill","_tiffosReadProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_stream.cxx",2205,2295,106,106,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","_tiffosReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"OJPEGReadBufferFill","_tiffosReadProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_stream.cxx",2205,2295,106,106,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","_tiffosReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"OJPEGReadBufferFill","_tiffosSeekProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_stream.cxx",2205,2295,140,140,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","_tiffosSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long"
"OJPEGReadBufferFill","_tiffisReadProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_stream.cxx",2205,2295,108,108,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","_tiffisReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"OJPEGReadBufferFill","_tiffisReadProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_stream.cxx",2205,2295,108,108,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","_tiffisReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"OJPEGReadBufferFill","_tiffisSeekProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_stream.cxx",2205,2295,241,241,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","_tiffisSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long"
"OJPEGReadBufferFill","_tiffReadProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_unix.c",2205,2295,68,68,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","_tiffReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"OJPEGReadBufferFill","_tiffReadProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_unix.c",2205,2295,68,68,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","_tiffReadProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"OJPEGReadBufferFill","_tiffSeekProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_unix.c",2205,2295,127,127,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long"
"OJPEGReadBufferFill","t2p_readproc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/tools/tiff2pdf.c",2205,2295,460,460,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","t2p_readproc(thandle_t, tdata_t, tmsize_t) -> tmsize_t","thandle_t handle, tdata_t data, tmsize_t size","tmsize_t","signed long"
"OJPEGReadBufferFill","t2p_readproc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/tools/tiff2pdf.c",2205,2295,460,460,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","t2p_readproc(thandle_t, tdata_t, tmsize_t) -> tmsize_t","thandle_t handle, tdata_t data, tmsize_t size","tmsize_t","signed long"
"OJPEGReadBufferFill","t2p_seekproc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/tools/tiff2pdf.c",2205,2295,478,478,"OJPEGReadBufferFill(OJPEGState *) -> int","OJPEGState * sp","int","int","t2p_seekproc(thandle_t, uint64_t, int) -> uint64_t","thandle_t handle, uint64_t offset, int whence","uint64_t","unsigned long"
