"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"OJPEGReadHeaderInfoSec","__assert_fail","/src/libtiff/libtiff/tif_ojpeg.c","/usr/include/assert.h",1487,1622,69,69,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"OJPEGReadHeaderInfoSec","TIFFErrorExtR","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_error.c",1487,1622,107,107,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"OJPEGReadHeaderInfoSec","OJPEGReadSkip","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,2370,2370,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadSkip(OJPEGState *, uint16_t) -> void","OJPEGState * sp, uint16_t len","void","void"
"OJPEGReadHeaderInfoSec","OJPEGReadWord","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,2330,2330,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadWord(OJPEGState *, uint16_t *) -> int","OJPEGState * sp, uint16_t * word","int","int"
"OJPEGReadHeaderInfoSec","OJPEGReadByte","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,2297,2297,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadByte(OJPEGState *, uint8_t *) -> int","OJPEGState * sp, uint8_t * byte","int","int"
"OJPEGReadHeaderInfoSec","OJPEGReadByteAdvance","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,2323,2323,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadByteAdvance(OJPEGState *) -> void","OJPEGState * sp","void","void"
"OJPEGReadHeaderInfoSec","OJPEGReadBytePeek","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,2311,2311,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadBytePeek(OJPEGState *, uint8_t *) -> int","OJPEGState * sp, uint8_t * byte","int","int"
"OJPEGReadHeaderInfoSec","OJPEGReadHeaderInfoSecTablesAcTable","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,2134,2134,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadHeaderInfoSecTablesAcTable(TIFF *) -> int","TIFF * tif","int","int"
"OJPEGReadHeaderInfoSec","OJPEGReadHeaderInfoSecTablesDcTable","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,2064,2064,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadHeaderInfoSecTablesDcTable(TIFF *) -> int","TIFF * tif","int","int"
"OJPEGReadHeaderInfoSec","OJPEGReadHeaderInfoSecTablesQTable","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,2005,2005,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadHeaderInfoSecTablesQTable(TIFF *) -> int","TIFF * tif","int","int"
"OJPEGReadHeaderInfoSec","OJPEGReadHeaderInfoSecStreamSos","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,1956,1956,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadHeaderInfoSecStreamSos(TIFF *) -> int","TIFF * tif","int","int"
"OJPEGReadHeaderInfoSec","OJPEGReadHeaderInfoSecStreamSof","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,1786,1786,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadHeaderInfoSecStreamSof(TIFF *, uint8_t) -> int","TIFF * tif, uint8_t marker_id","int","int"
"OJPEGReadHeaderInfoSec","OJPEGReadHeaderInfoSecStreamDht","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,1707,1707,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadHeaderInfoSecStreamDht(TIFF *) -> int","TIFF * tif","int","int"
"OJPEGReadHeaderInfoSec","OJPEGReadHeaderInfoSecStreamDqt","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,1644,1644,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadHeaderInfoSecStreamDqt(TIFF *) -> int","TIFF * tif","int","int"
"OJPEGReadHeaderInfoSec","OJPEGReadHeaderInfoSecStreamDri","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",1487,1622,1624,1624,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","OJPEGReadHeaderInfoSecStreamDri(TIFF *) -> int","TIFF * tif","int","int"
"OJPEGReadHeaderInfoSec","_tiffosSizeProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_stream.cxx",1487,1622,286,286,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","_tiffosSizeProc(thandle_t) -> uint64_t","thandle_t fd","uint64_t","unsigned long"
"OJPEGReadHeaderInfoSec","_tiffisSizeProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_stream.cxx",1487,1622,300,300,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","_tiffisSizeProc(thandle_t) -> uint64_t","thandle_t fd","uint64_t","unsigned long"
"OJPEGReadHeaderInfoSec","_tiffSizeProc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_unix.c",1487,1622,147,147,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","_tiffSizeProc(thandle_t) -> uint64_t","thandle_t fd","uint64_t","unsigned long"
"OJPEGReadHeaderInfoSec","t2p_sizeproc","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/tools/tiff2pdf.c",1487,1622,492,492,"OJPEGReadHeaderInfoSec(TIFF *) -> int","TIFF * tif","int","int","t2p_sizeproc(thandle_t) -> uint64_t","thandle_t handle","uint64_t","unsigned long"
