"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"OJPEGVGetField","_TIFFVGetField","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_dir.c",523,562,1211,1211,"OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"OJPEGVGetField","Fax3VGetField","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_fax3.c",523,562,1346,1346,"OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"OJPEGVGetField","JPEGVGetField","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_jpeg.c",523,562,2633,2633,"OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","JPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"OJPEGVGetField","LogLuvVGetField","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_luv.c",523,562,1762,1762,"OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LogLuvVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"OJPEGVGetField","LZMAVGetField","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_lzma.c",523,562,437,437,"OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LZMAVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"OJPEGVGetField","OJPEGSubsamplingCorrect","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",523,562,1086,1086,"OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","OJPEGSubsamplingCorrect(TIFF *) -> void","TIFF * tif","void","void"
"OJPEGVGetField","OJPEGVGetField","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_ojpeg.c",523,562,522,522,"OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"OJPEGVGetField","PixarLogVGetField","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_pixarlog.c",523,562,1580,1580,"OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PixarLogVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"OJPEGVGetField","PredictorVGetField","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_predict.c",523,562,949,949,"OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"OJPEGVGetField","ZIPVGetField","/src/libtiff/libtiff/tif_ojpeg.c","/src/libtiff/libtiff/tif_zip.c",523,562,654,654,"OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","ZIPVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
