"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"PixarLogSetupDecode","__assert_fail","/src/libtiff/libtiff/tif_pixarlog.c","/usr/include/assert.h",740,808,69,69,"PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"PixarLogSetupDecode","TIFFErrorExtR","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_error.c",740,808,107,107,"PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"PixarLogSetupDecode","_TIFFmallocExt","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_open.c",740,808,164,164,"PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"PixarLogSetupDecode","_TIFFfreeExt","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_open.c",740,808,266,266,"PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"PixarLogSetupDecode","multiply_ms","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_pixarlog.c",740,808,716,716,"PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int","multiply_ms(tmsize_t, tmsize_t) -> tmsize_t","tmsize_t m1, tmsize_t m2","tmsize_t","signed long"
"PixarLogSetupDecode","multiply_ms","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_pixarlog.c",740,808,716,716,"PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int","multiply_ms(tmsize_t, tmsize_t) -> tmsize_t","tmsize_t m1, tmsize_t m2","tmsize_t","signed long"
"PixarLogSetupDecode","PixarLogGuessDataFmt","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_pixarlog.c",740,808,681,681,"PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int","PixarLogGuessDataFmt(TIFFDirectory *) -> int","TIFFDirectory * td","int","int"
"PixarLogSetupDecode","add_ms","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_pixarlog.c",740,808,721,721,"PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int","add_ms(tmsize_t, tmsize_t) -> tmsize_t","tmsize_t m1, tmsize_t m2","tmsize_t","signed long"
"PixarLogSetupDecode","add_ms","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_pixarlog.c",740,808,721,721,"PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int","add_ms(tmsize_t, tmsize_t) -> tmsize_t","tmsize_t m1, tmsize_t m2","tmsize_t","signed long"
"PixarLogSetupDecode","inflateInit_","/src/libtiff/libtiff/tif_pixarlog.c","/src/zlib/inflate.c",740,808,218,218,"PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int","inflateInit_(z_streamp, const char *, int) -> int","z_streamp strm, const char * version, int stream_size","int","int"
