"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"PixarLogVSetField","TIFFTileSize","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_tile.c",1514,1578,253,253,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"PixarLogVSetField","TIFFTileSize","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_tile.c",1514,1578,253,253,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"PixarLogVSetField","TIFFSetField","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_dir.c",1514,1578,1145,1145,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"PixarLogVSetField","TIFFErrorExtR","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_error.c",1514,1578,107,107,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"PixarLogVSetField","TIFFScanlineSize","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_strip.c",1514,1578,342,342,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"PixarLogVSetField","TIFFScanlineSize","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_strip.c",1514,1578,342,342,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"PixarLogVSetField","_TIFFVSetField","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_dir.c",1514,1578,220,220,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PixarLogVSetField","Fax3VSetField","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_fax3.c",1514,1578,1298,1298,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","Fax3VSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PixarLogVSetField","JPEGVSetField","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_jpeg.c",1514,1578,2573,2573,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","JPEGVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PixarLogVSetField","LogLuvVSetField","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_luv.c",1514,1578,1696,1696,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LogLuvVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PixarLogVSetField","LZMAVSetField","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_lzma.c",1514,1578,410,410,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LZMAVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PixarLogVSetField","OJPEGVSetField","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_ojpeg.c",1514,1578,564,564,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","OJPEGVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PixarLogVSetField","PixarLogVSetField","/src/libtiff/libtiff/tif_pixarlog.c","/src/libtiff/libtiff/tif_pixarlog.c",1514,1578,1513,1513,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PixarLogVSetField","deflateParams","/src/libtiff/libtiff/tif_pixarlog.c","/src/zlib/deflate.c",1514,1578,760,760,"PixarLogVSetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","deflateParams(z_streamp, int, int) -> int","z_streamp strm, int level, int strategy","int","int"
