"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"PredictorSetupDecode","_notConfigured","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_codec.c",124,224,110,110,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","_notConfigured(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","_TIFFtrue","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_compress.c",124,224,135,135,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","_TIFFtrue(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","Fax3SetupState","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_fax3.c",124,224,522,522,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","Fax3SetupState(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","JBIGSetupDecode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_jbig.c",124,224,38,38,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","JBIGSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","JPEGSetupDecode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_jpeg.c",124,224,1071,1071,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","JPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","LogLuvSetupDecode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_luv.c",124,224,1508,1508,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","LogLuvSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","LZMASetupDecode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_lzma.c",124,224,109,109,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","LZMASetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","LZWSetupDecode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_lzw.c",124,224,183,183,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","LZWSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","OJPEGSetupDecode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_ojpeg.c",124,224,701,701,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","OJPEGSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","PixarLogSetupDecode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_pixarlog.c",124,224,739,739,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","PixarLogSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","PredictorSetupDecode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_predict.c",124,224,123,123,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","PredictorSetup","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_predict.c",124,224,59,59,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","PredictorSetup(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","ThunderSetupDecode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_thunder.c",124,224,69,69,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","ThunderSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupDecode","ZIPSetupDecode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_zip.c",124,224,101,101,"PredictorSetupDecode(TIFF *) -> int","TIFF * tif","int","int","ZIPSetupDecode(TIFF *) -> int","TIFF * tif","int","int"
