"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"PredictorSetupEncode","_notConfigured","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_codec.c",227,311,110,110,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","_notConfigured(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","_TIFFtrue","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_compress.c",227,311,135,135,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","_TIFFtrue(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","Fax3SetupState","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_fax3.c",227,311,522,522,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","Fax3SetupState(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","JBIGSetupEncode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_jbig.c",227,311,128,128,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","JBIGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","JPEGSetupEncode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_jpeg.c",227,311,1909,1909,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","LogLuvSetupEncode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_luv.c",227,311,1577,1577,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","LogLuvSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","LZMASetupEncode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_lzma.c",227,311,255,255,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","LZMASetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","LZWSetupEncode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_lzw.c",227,311,1024,1024,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","LZWSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","OJPEGSetupEncode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_ojpeg.c",227,311,1000,1000,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","OJPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","PixarLogSetupEncode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_pixarlog.c",227,311,994,994,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","PixarLogSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","PredictorSetupEncode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_predict.c",227,311,226,226,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","PredictorSetup","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_predict.c",227,311,59,59,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","PredictorSetup(TIFF *) -> int","TIFF * tif","int","int"
"PredictorSetupEncode","ZIPSetupEncode","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_zip.c",227,311,315,315,"PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int","ZIPSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
