"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"PredictorVGetField","__assert_fail","/src/libtiff/libtiff/tif_predict.c","/usr/include/assert.h",950,965,69,69,"PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"PredictorVGetField","_TIFFVGetField","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_dir.c",950,965,1211,1211,"PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","_TIFFVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PredictorVGetField","Fax3VGetField","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_fax3.c",950,965,1346,1346,"PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","Fax3VGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PredictorVGetField","JPEGVGetField","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_jpeg.c",950,965,2633,2633,"PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","JPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PredictorVGetField","LogLuvVGetField","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_luv.c",950,965,1762,1762,"PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LogLuvVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PredictorVGetField","LZMAVGetField","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_lzma.c",950,965,437,437,"PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","LZMAVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PredictorVGetField","OJPEGVGetField","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_ojpeg.c",950,965,522,522,"PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","OJPEGVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PredictorVGetField","PixarLogVGetField","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_pixarlog.c",950,965,1580,1580,"PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PixarLogVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PredictorVGetField","PredictorVGetField","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_predict.c",950,965,949,949,"PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
"PredictorVGetField","ZIPVGetField","/src/libtiff/libtiff/tif_predict.c","/src/libtiff/libtiff/tif_zip.c",950,965,654,654,"PredictorVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int","ZIPVGetField(TIFF *, uint32_t, va_list) -> int","TIFF * tif, uint32_t tag, va_list ap","int","int"
