"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFPrintDirectory","strchr","/src/libtiff/libtiff/tif_print.c","/usr/include/string.h",245,722,226,226,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","strchr(const char *, int) -> char *","const char * __s, int __c","char *","char *"
"TIFFPrintDirectory","strcmp","/src/libtiff/libtiff/tif_print.c","/usr/include/string.h",245,722,137,137,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","strcmp(const char *, const char *) -> int","const char * __s1, const char * __s2","int","int"
"TIFFPrintDirectory","__assert_fail","/src/libtiff/libtiff/tif_print.c","/usr/include/assert.h",245,722,69,69,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"TIFFPrintDirectory","fprintf","/src/libtiff/libtiff/tif_print.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",245,722,98,98,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"TIFFPrintDirectory","fputs","/src/libtiff/libtiff/tif_print.c","/usr/include/stdio.h",245,722,626,626,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","fputs(const char *__restrict__, FILE *__restrict__) -> int","const char *__restrict__ __s, FILE *__restrict__ __stream","int","int"
"TIFFPrintDirectory","fputc","/src/libtiff/libtiff/tif_print.c","/usr/include/stdio.h",245,722,521,521,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","fputc(int, FILE *) -> int","int __c, FILE * __stream","int","int"
"TIFFPrintDirectory","TIFFGetField","/src/libtiff/libtiff/tif_print.c","/src/libtiff/libtiff/tif_dir.c",245,722,1581,1581,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFFPrintDirectory","_TIFFmallocExt","/src/libtiff/libtiff/tif_print.c","/src/libtiff/libtiff/tif_open.c",245,722,164,164,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","_TIFFmallocExt(TIFF *, tmsize_t) -> void *","TIFF * tif, tmsize_t s","void *","void *"
"TIFFPrintDirectory","_TIFFfreeExt","/src/libtiff/libtiff/tif_print.c","/src/libtiff/libtiff/tif_open.c",245,722,266,266,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFPrintDirectory","TIFFGetStrileByteCount","/src/libtiff/libtiff/tif_print.c","/src/libtiff/libtiff/tif_dirread.c",245,722,8354,8354,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","TIFFGetStrileByteCount(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFPrintDirectory","TIFFGetStrileOffset","/src/libtiff/libtiff/tif_print.c","/src/libtiff/libtiff/tif_dirread.c",245,722,8337,8337,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","TIFFGetStrileOffset(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFPrintDirectory","TIFFFieldSetGetSize","/src/libtiff/libtiff/tif_print.c","/src/libtiff/libtiff/tif_dirinfo.c",245,722,673,673,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","TIFFFieldSetGetSize(const TIFFField *) -> int","const TIFFField * fip","int","int"
"TIFFPrintDirectory","TIFFFieldWithTag","/src/libtiff/libtiff/tif_print.c","/src/libtiff/libtiff/tif_dirinfo.c",245,722,844,844,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","TIFFFieldWithTag(TIFF *, uint32_t) -> const TIFFField *","TIFF * tif, uint32_t tag","const TIFFField *","_TIFFField *"
"TIFFPrintDirectory","TIFFFieldWithTag","/src/libtiff/libtiff/tif_print.c","/src/libtiff/libtiff/tif_dirinfo.c",245,722,844,844,"TIFFPrintDirectory(TIFF *, FILE *, long) -> void","TIFF * tif, FILE * fd, long flags","void","void","TIFFFieldWithTag(TIFF *, uint32_t) -> const TIFFField *","TIFF * tif, uint32_t tag","const TIFFField *","_TIFFField *"
