"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFFillStripPartial","memmove","/src/libtiff/libtiff/tif_read.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",161,299,38,38,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","memmove(void *, const void *, size_t) -> void *","void * __dest, const void * __src, size_t __len","void *","void *"
"TIFFFillStripPartial","__assert_fail","/src/libtiff/libtiff/tif_read.c","/usr/include/assert.h",161,299,69,69,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"TIFFFillStripPartial","_TIFFSeekOK","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_aux.c",161,299,406,406,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","_TIFFSeekOK(TIFF *, toff_t) -> int","TIFF * tif, toff_t off","int","int"
"TIFFFillStripPartial","TIFFErrorExtR","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_error.c",161,299,107,107,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFFillStripPartial","TIFFGetStrileByteCount","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_dirread.c",161,299,8354,8354,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","TIFFGetStrileByteCount(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFFillStripPartial","TIFFGetStrileOffset","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_dirread.c",161,299,8337,8337,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","TIFFGetStrileOffset(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFFillStripPartial","TIFFReverseBits","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_swab.c",161,299,310,310,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","TIFFReverseBits(uint8_t *, tmsize_t) -> void","uint8_t * cp, tmsize_t n","void","void"
"TIFFFillStripPartial","TIFFJPEGIsFullStripRequired","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_jpeg.c",161,299,1130,1130,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","TIFFJPEGIsFullStripRequired(TIFF *) -> int","TIFF * tif","int","int"
"TIFFFillStripPartial","TIFFFillStrip","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",161,299,747,747,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","TIFFFillStrip(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t strip","int","int"
"TIFFFillStripPartial","TIFFStartStrip","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",161,299,1410,1410,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","TIFFStartStrip(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t strip","int","int"
"TIFFFillStripPartial","TIFFReadAndRealloc","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",161,299,55,55,"TIFFFillStripPartial(TIFF *, int, tmsize_t, int) -> int","TIFF * tif, int strip, tmsize_t read_ahead, int restart","int","int","TIFFReadAndRealloc(TIFF *, tmsize_t, tmsize_t, int, uint32_t, const char *) -> int","TIFF * tif, tmsize_t size, tmsize_t rawdata_offset, int is_strip, uint32_t strip_or_tile, const char * module","int","int"
