"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFFillTile","TIFFTileSize","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_tile.c",1202,1350,253,253,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFFillTile","TIFFTileSize","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_tile.c",1202,1350,253,253,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFFFillTile","TIFFErrorExtR","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_error.c",1202,1350,107,107,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFFillTile","_TIFFfreeExt","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_open.c",1202,1350,266,266,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","_TIFFfreeExt(TIFF *, void *) -> void","TIFF * tif, void * p","void","void"
"TIFFFillTile","TIFFGetStrileByteCount","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_dirread.c",1202,1350,8354,8354,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFGetStrileByteCount(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFFillTile","TIFFGetStrileOffset","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_dirread.c",1202,1350,8337,8337,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFGetStrileOffset(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFFillTile","TIFFReverseBits","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_swab.c",1202,1350,310,310,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFReverseBits(uint8_t *, tmsize_t) -> void","uint8_t * cp, tmsize_t n","void","void"
"TIFFFillTile","TIFFReadBufferSetup","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1202,1350,1361,1361,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFReadBufferSetup(TIFF *, void *, tmsize_t) -> int","TIFF * tif, void * bp, tmsize_t size","int","int"
"TIFFFillTile","TIFFStartTile","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1202,1350,1455,1455,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFStartTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int"
"TIFFFillTile","TIFFReadRawTile1","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1202,1350,1105,1105,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFReadRawTile1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size, const char * module","tmsize_t","signed long"
"TIFFFillTile","TIFFReadRawTile1","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1202,1350,1105,1105,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFReadRawTile1(TIFF *, uint32_t, void *, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size, const char * module","tmsize_t","signed long"
"TIFFFillTile","TIFFReadRawStripOrTile2","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1202,1350,669,669,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFReadRawStripOrTile2(TIFF *, uint32_t, int, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip_or_tile, int is_strip, tmsize_t size, const char * module","tmsize_t","signed long"
"TIFFFillTile","TIFFReadRawStripOrTile2","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1202,1350,669,669,"TIFFFillTile(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tile","int","int","TIFFReadRawStripOrTile2(TIFF *, uint32_t, int, tmsize_t, const char *) -> tmsize_t","TIFF * tif, uint32_t strip_or_tile, int is_strip, tmsize_t size, const char * module","tmsize_t","signed long"
