"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadEncodedStrip","memset","/src/libtiff/libtiff/tif_read.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",527,564,59,59,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"TIFFReadEncodedStrip","memset","/src/libtiff/libtiff/tif_read.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",527,564,59,59,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"TIFFReadEncodedStrip","TIFFReverseBits","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_swab.c",527,564,310,310,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","TIFFReverseBits(uint8_t *, tmsize_t) -> void","uint8_t * cp, tmsize_t n","void","void"
"TIFFReadEncodedStrip","TIFFReverseBits","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_swab.c",527,564,310,310,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","TIFFReverseBits(uint8_t *, tmsize_t) -> void","uint8_t * cp, tmsize_t n","void","void"
"TIFFReadEncodedStrip","_TIFFSwab64BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",527,564,1658,1658,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFSwab64BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadEncodedStrip","_TIFFSwab64BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",527,564,1658,1658,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFSwab64BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadEncodedStrip","_TIFFSwab32BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",527,564,1651,1651,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFSwab32BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadEncodedStrip","_TIFFSwab32BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",527,564,1651,1651,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFSwab32BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadEncodedStrip","_TIFFSwab24BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",527,564,1644,1644,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFSwab24BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadEncodedStrip","_TIFFSwab24BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",527,564,1644,1644,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFSwab24BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadEncodedStrip","_TIFFSwab16BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",527,564,1637,1637,"TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFSwab16BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
