"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadRawStrip","TIFFErrorExtR","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_error.c",706,738,107,107,"TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadRawStrip","TIFFErrorExtR","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_error.c",706,738,107,107,"TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadRawStrip","_TIFFCastUInt64ToSSize","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_aux.c",706,738,84,84,"TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFCastUInt64ToSSize(TIFF *, uint64_t, const char *) -> tmsize_t","TIFF * tif, uint64_t val, const char * module","tmsize_t","signed long"
"TIFFReadRawStrip","_TIFFCastUInt64ToSSize","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_aux.c",706,738,84,84,"TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFCastUInt64ToSSize(TIFF *, uint64_t, const char *) -> tmsize_t","TIFF * tif, uint64_t val, const char * module","tmsize_t","signed long"
"TIFFReadRawStrip","_TIFFCastUInt64ToSSize","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_aux.c",706,738,84,84,"TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFCastUInt64ToSSize(TIFF *, uint64_t, const char *) -> tmsize_t","TIFF * tif, uint64_t val, const char * module","tmsize_t","signed long"
"TIFFReadRawStrip","_TIFFCastUInt64ToSSize","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_aux.c",706,738,84,84,"TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFCastUInt64ToSSize(TIFF *, uint64_t, const char *) -> tmsize_t","TIFF * tif, uint64_t val, const char * module","tmsize_t","signed long"
"TIFFReadRawStrip","TIFFGetStrileByteCount","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_dirread.c",706,738,8354,8354,"TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","TIFFGetStrileByteCount(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFReadRawStrip","TIFFGetStrileByteCount","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_dirread.c",706,738,8354,8354,"TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","TIFFGetStrileByteCount(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFReadRawStrip","TIFFCheckRead","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",706,738,1505,1505,"TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","TIFFCheckRead(TIFF *, int) -> int","TIFF * tif, int tiles","int","int"
"TIFFReadRawStrip","TIFFCheckRead","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",706,738,1505,1505,"TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long","TIFFCheckRead(TIFF *, int) -> int","TIFF * tif, int tiles","int","int"
