"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadRawTile","TIFFErrorExtR","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_error.c",1163,1195,107,107,"TIFFReadRawTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadRawTile","TIFFErrorExtR","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_error.c",1163,1195,107,107,"TIFFReadRawTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFReadRawTile","_TIFFCastUInt64ToSSize","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_aux.c",1163,1195,84,84,"TIFFReadRawTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFCastUInt64ToSSize(TIFF *, uint64_t, const char *) -> tmsize_t","TIFF * tif, uint64_t val, const char * module","tmsize_t","signed long"
"TIFFReadRawTile","_TIFFCastUInt64ToSSize","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_aux.c",1163,1195,84,84,"TIFFReadRawTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFCastUInt64ToSSize(TIFF *, uint64_t, const char *) -> tmsize_t","TIFF * tif, uint64_t val, const char * module","tmsize_t","signed long"
"TIFFReadRawTile","_TIFFCastUInt64ToSSize","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_aux.c",1163,1195,84,84,"TIFFReadRawTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFCastUInt64ToSSize(TIFF *, uint64_t, const char *) -> tmsize_t","TIFF * tif, uint64_t val, const char * module","tmsize_t","signed long"
"TIFFReadRawTile","_TIFFCastUInt64ToSSize","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_aux.c",1163,1195,84,84,"TIFFReadRawTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long","_TIFFCastUInt64ToSSize(TIFF *, uint64_t, const char *) -> tmsize_t","TIFF * tif, uint64_t val, const char * module","tmsize_t","signed long"
"TIFFReadRawTile","TIFFGetStrileByteCount","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_dirread.c",1163,1195,8354,8354,"TIFFReadRawTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long","TIFFGetStrileByteCount(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFReadRawTile","TIFFGetStrileByteCount","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_dirread.c",1163,1195,8354,8354,"TIFFReadRawTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long","TIFFGetStrileByteCount(TIFF *, uint32_t) -> uint64_t","TIFF * tif, uint32_t strile","uint64_t","unsigned long"
"TIFFReadRawTile","TIFFCheckRead","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1163,1195,1505,1505,"TIFFReadRawTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long","TIFFCheckRead(TIFF *, int) -> int","TIFF * tif, int tiles","int","int"
"TIFFReadRawTile","TIFFCheckRead","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1163,1195,1505,1505,"TIFFReadRawTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long","TIFFCheckRead(TIFF *, int) -> int","TIFF * tif, int tiles","int","int"
