"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFReadScanline","memset","/src/libtiff/libtiff/tif_read.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",448,472,59,59,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"TIFFReadScanline","_TIFFSwab64BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",448,472,1658,1658,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFSwab64BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadScanline","_TIFFSwab32BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",448,472,1651,1651,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFSwab32BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadScanline","_TIFFSwab24BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",448,472,1644,1644,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFSwab24BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadScanline","_TIFFSwab16BitData","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",448,472,1637,1637,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFSwab16BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadScanline","_TIFFNoPostDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",448,472,1630,1630,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFNoPostDecode(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadScanline","_TIFFNoRowDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_compress.c",448,472,96,96,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFNoRowDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * pp, tmsize_t cc, uint16_t s","int","int"
"TIFFReadScanline","DumpModeDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_dumpmode.c",448,472,73,73,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","DumpModeDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int"
"TIFFReadScanline","Fax3DecodeRLE","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_fax3.c",448,472,1700,1700,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","Fax3DecodeRLE(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","Fax4Decode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_fax3.c",448,472,1549,1549,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","Fax4Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","Fax3Decode1D","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_fax3.c",448,472,263,263,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","Fax3Decode1D(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","Fax3Decode2D","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_fax3.c",448,472,320,320,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","Fax3Decode2D(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","JPEGDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_jpeg.c",448,472,1440,1440,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","JPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int"
"TIFFReadScanline","DecodeRowError","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_jpeg.c",448,472,1612,1612,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","DecodeRowError(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int"
"TIFFReadScanline","LogLuvDecode24","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_luv.c",448,472,259,259,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","LogLuvDecode24(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","LogLuvDecode32","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_luv.c",448,472,312,312,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","LogLuvDecode32(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","LogL16Decode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_luv.c",448,472,183,183,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","LogL16Decode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","LZMADecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_lzma.c",448,472,167,167,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","LZMADecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","LZWDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_lzw.c",448,472,403,403,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","LZWDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op0, tmsize_t occ0, uint16_t s","int","int"
"TIFFReadScanline","LZWDecodeCompat","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_lzw.c",448,472,798,798,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","LZWDecodeCompat(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op0, tmsize_t occ0, uint16_t s","int","int"
"TIFFReadScanline","NeXTDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_next.c",448,472,57,57,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","NeXTDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","OJPEGPostDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_ojpeg.c",448,472,978,978,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","OJPEGPostDecode(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFReadScanline","OJPEGDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_ojpeg.c",448,472,839,839,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","OJPEGDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t cc, uint16_t s","int","int"
"TIFFReadScanline","PackBitsDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_packbits.c",448,472,234,234,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","PackBitsDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","PixarLogDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_pixarlog.c",448,472,834,834,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","PixarLogDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","PredictorDecodeRow","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_predict.c",448,472,557,557,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","PredictorDecodeRow(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op0, tmsize_t occ0, uint16_t s","int","int"
"TIFFReadScanline","TIFFCheckRead","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",448,472,1505,1505,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","TIFFCheckRead(TIFF *, int) -> int","TIFF * tif, int tiles","int","int"
"TIFFReadScanline","TIFFSeek","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",448,472,309,309,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","TIFFSeek(TIFF *, uint32_t, uint16_t) -> int","TIFF * tif, uint32_t row, uint16_t sample","int","int"
"TIFFReadScanline","ThunderDecodeRow","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_thunder.c",448,472,172,172,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","ThunderDecodeRow(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * buf, tmsize_t occ, uint16_t s","int","int"
"TIFFReadScanline","ZIPDecode","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_zip.c",448,472,163,163,"TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","ZIPDecode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * op, tmsize_t occ, uint16_t s","int","int"
