"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_TIFFReadEncodedTileAndAllocBuffer","TIFFFileName","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_open.c",1018,1103,788,788,"_TIFFReadEncodedTileAndAllocBuffer(TIFF *, uint32_t, void **, tmsize_t, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void ** buf, tmsize_t bufsizetoalloc, tmsize_t size_to_read","tmsize_t","signed long","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"_TIFFReadEncodedTileAndAllocBuffer","TIFFFileName","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_open.c",1018,1103,788,788,"_TIFFReadEncodedTileAndAllocBuffer(TIFF *, uint32_t, void **, tmsize_t, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void ** buf, tmsize_t bufsizetoalloc, tmsize_t size_to_read","tmsize_t","signed long","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"_TIFFReadEncodedTileAndAllocBuffer","TIFFReadEncodedTile","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1018,1103,941,941,"_TIFFReadEncodedTileAndAllocBuffer(TIFF *, uint32_t, void **, tmsize_t, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void ** buf, tmsize_t bufsizetoalloc, tmsize_t size_to_read","tmsize_t","signed long","TIFFReadEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long"
"_TIFFReadEncodedTileAndAllocBuffer","TIFFReadEncodedTile","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1018,1103,941,941,"_TIFFReadEncodedTileAndAllocBuffer(TIFF *, uint32_t, void **, tmsize_t, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void ** buf, tmsize_t bufsizetoalloc, tmsize_t size_to_read","tmsize_t","signed long","TIFFReadEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long"
"_TIFFReadEncodedTileAndAllocBuffer","TIFFReadEncodedTile","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1018,1103,941,941,"_TIFFReadEncodedTileAndAllocBuffer(TIFF *, uint32_t, void **, tmsize_t, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void ** buf, tmsize_t bufsizetoalloc, tmsize_t size_to_read","tmsize_t","signed long","TIFFReadEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long"
"_TIFFReadEncodedTileAndAllocBuffer","TIFFReadEncodedTile","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_read.c",1018,1103,941,941,"_TIFFReadEncodedTileAndAllocBuffer(TIFF *, uint32_t, void **, tmsize_t, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void ** buf, tmsize_t bufsizetoalloc, tmsize_t size_to_read","tmsize_t","signed long","TIFFReadEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long"
"_TIFFReadEncodedTileAndAllocBuffer","_TIFFmemset","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_unix.c",1018,1103,349,349,"_TIFFReadEncodedTileAndAllocBuffer(TIFF *, uint32_t, void **, tmsize_t, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void ** buf, tmsize_t bufsizetoalloc, tmsize_t size_to_read","tmsize_t","signed long","_TIFFmemset(void *, int, tmsize_t) -> void","void * p, int v, tmsize_t c","void","void"
"_TIFFReadEncodedTileAndAllocBuffer","_TIFFmemset","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_unix.c",1018,1103,349,349,"_TIFFReadEncodedTileAndAllocBuffer(TIFF *, uint32_t, void **, tmsize_t, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void ** buf, tmsize_t bufsizetoalloc, tmsize_t size_to_read","tmsize_t","signed long","_TIFFmemset(void *, int, tmsize_t) -> void","void * p, int v, tmsize_t c","void","void"
"_TIFFReadEncodedTileAndAllocBuffer","TIFFErrorExtR","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_error.c",1018,1103,107,107,"_TIFFReadEncodedTileAndAllocBuffer(TIFF *, uint32_t, void **, tmsize_t, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void ** buf, tmsize_t bufsizetoalloc, tmsize_t size_to_read","tmsize_t","signed long","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"_TIFFReadEncodedTileAndAllocBuffer","TIFFErrorExtR","/src/libtiff/libtiff/tif_read.c","/src/libtiff/libtiff/tif_error.c",1018,1103,107,107,"_TIFFReadEncodedTileAndAllocBuffer(TIFF *, uint32_t, void **, tmsize_t, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void ** buf, tmsize_t bufsizetoalloc, tmsize_t size_to_read","tmsize_t","signed long","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
