"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFStreamOpen","_tiffStreamOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_stream.cxx",401,404,343,343,"TIFFStreamOpen(const char *, istream *) -> TIFF *","const char * name, istream * is","TIFF *","tiff *","_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *"
"TIFFStreamOpen","_tiffStreamOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_stream.cxx",401,404,343,343,"TIFFStreamOpen(const char *, istream *) -> TIFF *","const char * name, istream * is","TIFF *","tiff *","_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *"
"TIFFStreamOpen","_tiffStreamOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_stream.cxx",401,404,343,343,"TIFFStreamOpen(const char *, istream *) -> TIFF *","const char * name, istream * is","TIFF *","tiff *","_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *"
"TIFFStreamOpen","_tiffStreamOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_stream.cxx",401,404,343,343,"TIFFStreamOpen(const char *, istream *) -> TIFF *","const char * name, istream * is","TIFF *","tiff *","_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *"
"TIFFStreamOpen","operator long long","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/__ios/fpos.h",385,398,31,31,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::fpos<__mbstate_t>::operator long long() -> streamoff","","streamoff","long long"
"TIFFStreamOpen","operator long long","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/__ios/fpos.h",385,398,31,31,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::fpos<__mbstate_t>::operator long long() -> streamoff","","streamoff","long long"
"TIFFStreamOpen","operator long long","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/__ios/fpos.h",385,398,31,31,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::fpos<__mbstate_t>::operator long long() -> streamoff","","streamoff","long long"
"TIFFStreamOpen","operator long long","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/__ios/fpos.h",385,398,31,31,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::fpos<__mbstate_t>::operator long long() -> streamoff","","streamoff","long long"
"TIFFStreamOpen","fpos","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/__ios/fpos.h",385,398,29,29,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::fpos<__mbstate_t>::fpos(streamoff) -> void","streamoff __off","void","void"
"TIFFStreamOpen","fpos","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/__ios/fpos.h",385,398,29,29,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::fpos<__mbstate_t>::fpos(streamoff) -> void","streamoff __off","void","void"
"TIFFStreamOpen","fpos","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/__ios/fpos.h",385,398,29,29,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::fpos<__mbstate_t>::fpos(streamoff) -> void","streamoff __off","void","void"
"TIFFStreamOpen","fpos","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/__ios/fpos.h",385,398,29,29,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::fpos<__mbstate_t>::fpos(streamoff) -> void","streamoff __off","void","void"
"TIFFStreamOpen","_tiffStreamOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_stream.cxx",385,398,343,343,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *"
"TIFFStreamOpen","_tiffStreamOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_stream.cxx",385,398,343,343,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *"
"TIFFStreamOpen","_tiffStreamOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_stream.cxx",385,398,343,343,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *"
"TIFFStreamOpen","_tiffStreamOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_stream.cxx",385,398,343,343,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *"
"TIFFStreamOpen","fail","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/ios",385,398,626,626,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::basic_ios<char, char_traits<char>>::fail() -> bool","","bool","bool"
"TIFFStreamOpen","fail","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/ios",385,398,626,626,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::basic_ios<char, char_traits<char>>::fail() -> bool","","bool","bool"
"TIFFStreamOpen","fail","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/ios",385,398,626,626,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::basic_ios<char, char_traits<char>>::fail() -> bool","","bool","bool"
"TIFFStreamOpen","fail","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/ios",385,398,626,626,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::basic_ios<char, char_traits<char>>::fail() -> bool","","bool","bool"
"TIFFStreamOpen","tellp","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/ostream",385,398,964,964,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::basic_ostream<char, char_traits<char>>::tellp() -> pos_type","","pos_type","fpos<__mbstate_t>"
"TIFFStreamOpen","tellp","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/ostream",385,398,964,964,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::basic_ostream<char, char_traits<char>>::tellp() -> pos_type","","pos_type","fpos<__mbstate_t>"
"TIFFStreamOpen","tellp","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/ostream",385,398,964,964,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::basic_ostream<char, char_traits<char>>::tellp() -> pos_type","","pos_type","fpos<__mbstate_t>"
"TIFFStreamOpen","tellp","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/ostream",385,398,964,964,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::basic_ostream<char, char_traits<char>>::tellp() -> pos_type","","pos_type","fpos<__mbstate_t>"
"TIFFStreamOpen","operator<<","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/ostream",385,398,789,789,"TIFFStreamOpen(const char *, ostream *) -> TIFF *","const char * name, ostream * os","TIFF *","tiff *","std::__1::operator<<<char_traits<char>>(basic_ostream<char, char_traits<char>> &, char) -> basic_ostream<char, char_traits<char>> &","basic_ostream<char, char_traits<char>> & __os, char __c","basic_ostream<char, char_traits<char>> &","basic_ostream<char, char_traits<char>> &"
