"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_tiffStreamOpen","strchr","/src/libtiff/libtiff/tif_stream.cxx","/usr/include/string.h",344,380,219,219,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","strchr(const char *, int) -> const char *","const char * __s, int __c","const char *","char *"
"_tiffStreamOpen","operator new","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/new",344,380,190,190,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","operator new(size_t) -> void *","size_t __sz","void *","void *"
"_tiffStreamOpen","TIFFClientOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_open.c",344,380,280,280,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","TIFFClientOpen(const char *, const char *, thandle_t, TIFFReadWriteProc, TIFFReadWriteProc, TIFFSeekProc, TIFFCloseProc, TIFFSizeProc, TIFFMapFileProc, TIFFUnmapFileProc) -> TIFF *","const char * name, const char * mode, thandle_t clientdata, TIFFReadWriteProc readproc, TIFFReadWriteProc writeproc, TIFFSeekProc seekproc, TIFFCloseProc closeproc, TIFFSizeProc sizeproc, TIFFMapFileProc mapproc, TIFFUnmapFileProc unmapproc","TIFF *","tiff *"
"_tiffStreamOpen","TIFFClientOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_open.c",344,380,280,280,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","TIFFClientOpen(const char *, const char *, thandle_t, TIFFReadWriteProc, TIFFReadWriteProc, TIFFSeekProc, TIFFCloseProc, TIFFSizeProc, TIFFMapFileProc, TIFFUnmapFileProc) -> TIFF *","const char * name, const char * mode, thandle_t clientdata, TIFFReadWriteProc readproc, TIFFReadWriteProc writeproc, TIFFSeekProc seekproc, TIFFCloseProc closeproc, TIFFSizeProc sizeproc, TIFFMapFileProc mapproc, TIFFUnmapFileProc unmapproc","TIFF *","tiff *"
"_tiffStreamOpen","TIFFClientOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_open.c",344,380,280,280,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","TIFFClientOpen(const char *, const char *, thandle_t, TIFFReadWriteProc, TIFFReadWriteProc, TIFFSeekProc, TIFFCloseProc, TIFFSizeProc, TIFFMapFileProc, TIFFUnmapFileProc) -> TIFF *","const char * name, const char * mode, thandle_t clientdata, TIFFReadWriteProc readproc, TIFFReadWriteProc writeproc, TIFFSeekProc seekproc, TIFFCloseProc closeproc, TIFFSizeProc sizeproc, TIFFMapFileProc mapproc, TIFFUnmapFileProc unmapproc","TIFF *","tiff *"
"_tiffStreamOpen","TIFFClientOpen","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_open.c",344,380,280,280,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","TIFFClientOpen(const char *, const char *, thandle_t, TIFFReadWriteProc, TIFFReadWriteProc, TIFFSeekProc, TIFFCloseProc, TIFFSizeProc, TIFFMapFileProc, TIFFUnmapFileProc) -> TIFF *","const char * name, const char * mode, thandle_t clientdata, TIFFReadWriteProc readproc, TIFFReadWriteProc writeproc, TIFFSeekProc seekproc, TIFFCloseProc closeproc, TIFFSizeProc sizeproc, TIFFMapFileProc mapproc, TIFFUnmapFileProc unmapproc","TIFF *","tiff *"
"_tiffStreamOpen","operator delete","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/new",344,380,195,195,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","operator delete(void *, size_t) -> void","void * __p, size_t __sz","void","void"
"_tiffStreamOpen","tellp","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/ostream",344,380,964,964,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","std::__1::basic_ostream<char, char_traits<char>>::tellp() -> pos_type","","pos_type","fpos<__mbstate_t>"
"_tiffStreamOpen","tiffos_data","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_stream.cxx",344,380,100,100,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","tiffos_data::tiffos_data() -> void","","void","void"
"_tiffStreamOpen","tiffis_data","/src/libtiff/libtiff/tif_stream.cxx","/src/libtiff/libtiff/tif_stream.cxx",344,380,94,94,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","tiffis_data::tiffis_data() -> void","","void","void"
"_tiffStreamOpen","tellg","/src/libtiff/libtiff/tif_stream.cxx","/usr/local/include/c++/v1/istream",344,380,1236,1236,"_tiffStreamOpen(const char *, const char *, void *) -> TIFF *","const char * name, const char * mode, void * fd","TIFF *","tiff *","std::__1::basic_istream<char, char_traits<char>>::tellg() -> pos_type","","pos_type","fpos<__mbstate_t>"
