"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFFdOpen","TIFFFdOpenExt","/src/libtiff/libtiff/tif_unix.c","/src/libtiff/libtiff/tif_unix.c",206,208,210,210,"TIFFFdOpen(int, const char *, const char *) -> TIFF *","int fd, const char * name, const char * mode","TIFF *","tiff *","TIFFFdOpenExt(int, const char *, const char *, TIFFOpenOptions *) -> TIFF *","int fd, const char * name, const char * mode, TIFFOpenOptions * opts","TIFF *","tiff *"
"TIFFFdOpen","TIFFFdOpenExt","/src/libtiff/libtiff/tif_unix.c","/src/libtiff/libtiff/tif_unix.c",206,208,210,210,"TIFFFdOpen(int, const char *, const char *) -> TIFF *","int fd, const char * name, const char * mode","TIFF *","tiff *","TIFFFdOpenExt(int, const char *, const char *, TIFFOpenOptions *) -> TIFF *","int fd, const char * name, const char * mode, TIFFOpenOptions * opts","TIFF *","tiff *"
"TIFFFdOpen","TIFFFdOpenExt","/src/libtiff/libtiff/tif_unix.c","/src/libtiff/libtiff/tif_unix.c",206,208,210,210,"TIFFFdOpen(int, const char *, const char *) -> TIFF *","int fd, const char * name, const char * mode","TIFF *","tiff *","TIFFFdOpenExt(int, const char *, const char *, TIFFOpenOptions *) -> TIFF *","int fd, const char * name, const char * mode, TIFFOpenOptions * opts","TIFF *","tiff *"
"TIFFFdOpen","TIFFFdOpenExt","/src/libtiff/libtiff/tif_unix.c","/src/libtiff/libtiff/tif_unix.c",206,208,210,210,"TIFFFdOpen(int, const char *, const char *) -> TIFF *","int fd, const char * name, const char * mode","TIFF *","tiff *","TIFFFdOpenExt(int, const char *, const char *, TIFFOpenOptions *) -> TIFF *","int fd, const char * name, const char * mode, TIFFOpenOptions * opts","TIFF *","tiff *"
"TIFFFdOpen","TIFFFdOpenExt","/src/libtiff/libtiff/tif_unix.c","/src/libtiff/libtiff/tif_unix.c",206,208,210,210,"TIFFFdOpen(int, const char *, const char *) -> TIFF *","int fd, const char * name, const char * mode","TIFF *","tiff *","TIFFFdOpenExt(int, const char *, const char *, TIFFOpenOptions *) -> TIFF *","int fd, const char * name, const char * mode, TIFFOpenOptions * opts","TIFF *","tiff *"
"TIFFFdOpen","TIFFFdOpenExt","/src/libtiff/libtiff/tif_unix.c","/src/libtiff/libtiff/tif_unix.c",206,208,210,210,"TIFFFdOpen(int, const char *, const char *) -> TIFF *","int fd, const char * name, const char * mode","TIFF *","tiff *","TIFFFdOpenExt(int, const char *, const char *, TIFFOpenOptions *) -> TIFF *","int fd, const char * name, const char * mode, TIFFOpenOptions * opts","TIFF *","tiff *"
"TIFFFdOpen","TIFFFdOpenExt","/src/libtiff/libtiff/tif_unix.c","/src/libtiff/libtiff/tif_unix.c",206,208,210,210,"TIFFFdOpen(int, const char *, const char *) -> TIFF *","int fd, const char * name, const char * mode","TIFF *","tiff *","TIFFFdOpenExt(int, const char *, const char *, TIFFOpenOptions *) -> TIFF *","int fd, const char * name, const char * mode, TIFFOpenOptions * opts","TIFF *","tiff *"
"TIFFFdOpen","TIFFFdOpenExt","/src/libtiff/libtiff/tif_unix.c","/src/libtiff/libtiff/tif_unix.c",206,208,210,210,"TIFFFdOpen(int, const char *, const char *) -> TIFF *","int fd, const char * name, const char * mode","TIFF *","tiff *","TIFFFdOpenExt(int, const char *, const char *, TIFFOpenOptions *) -> TIFF *","int fd, const char * name, const char * mode, TIFFOpenOptions * opts","TIFF *","tiff *"
"TIFFFdOpen","TIFFFdOpenExt","/src/libtiff/libtiff/tif_unix.c","/src/libtiff/libtiff/tif_unix.c",206,208,210,210,"TIFFFdOpen(int, const char *, const char *) -> TIFF *","int fd, const char * name, const char * mode","TIFF *","tiff *","TIFFFdOpenExt(int, const char *, const char *, TIFFOpenOptions *) -> TIFF *","int fd, const char * name, const char * mode, TIFFOpenOptions * opts","TIFF *","tiff *"
"TIFFFdOpen","TIFFFdOpenExt","/src/libtiff/libtiff/tif_unix.c","/src/libtiff/libtiff/tif_unix.c",206,208,210,210,"TIFFFdOpen(int, const char *, const char *) -> TIFF *","int fd, const char * name, const char * mode","TIFF *","tiff *","TIFFFdOpenExt(int, const char *, const char *, TIFFOpenOptions *) -> TIFF *","int fd, const char * name, const char * mode, TIFFOpenOptions * opts","TIFF *","tiff *"
