"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"_tiffSeekProc","__errno_location","/src/libtiff/libtiff/tif_unix.c","/usr/include/errno.h",128,138,37,37,"_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long","__errno_location() -> int *","","int *","int *"
"_tiffSeekProc","lseek","/src/libtiff/libtiff/tif_unix.c","/usr/include/unistd.h",128,138,334,334,"_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long","lseek(int, __off64_t, __off_t, int) -> __off64_t","int __fd, __off64_t __offset, int __whence","__off_t","long"
"_tiffSeekProc","lseek","/src/libtiff/libtiff/tif_unix.c","/usr/include/unistd.h",128,138,334,334,"_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long","lseek(int, __off64_t, __off_t, int) -> __off64_t","int __fd, __off64_t __offset, int __whence","__off64_t","long"
"_tiffSeekProc","lseek","/src/libtiff/libtiff/tif_unix.c","/usr/include/unistd.h",128,138,334,334,"_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long","lseek(int, __off64_t, __off_t, int) -> __off_t","int __fd, __off64_t __offset, int __whence","__off_t","long"
"_tiffSeekProc","lseek","/src/libtiff/libtiff/tif_unix.c","/usr/include/unistd.h",128,138,334,334,"_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long","lseek(int, __off64_t, __off_t, int) -> __off_t","int __fd, __off64_t __offset, int __whence","__off64_t","long"
"_tiffSeekProc","lseek","/src/libtiff/libtiff/tif_unix.c","/usr/include/unistd.h",128,138,337,337,"_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long","lseek(int, __off64_t, __off_t, int) -> __off64_t","int __fd, __off64_t __offset, int __whence","__off_t","long"
"_tiffSeekProc","lseek","/src/libtiff/libtiff/tif_unix.c","/usr/include/unistd.h",128,138,337,337,"_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long","lseek(int, __off64_t, __off_t, int) -> __off64_t","int __fd, __off64_t __offset, int __whence","__off64_t","long"
"_tiffSeekProc","lseek","/src/libtiff/libtiff/tif_unix.c","/usr/include/unistd.h",128,138,337,337,"_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long","lseek(int, __off64_t, __off_t, int) -> __off_t","int __fd, __off64_t __offset, int __whence","__off_t","long"
"_tiffSeekProc","lseek","/src/libtiff/libtiff/tif_unix.c","/usr/include/unistd.h",128,138,337,337,"_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long","lseek(int, __off64_t, __off_t, int) -> __off_t","int __fd, __off64_t __offset, int __whence","__off64_t","long"
"_tiffSeekProc","lseek","/src/libtiff/libtiff/tif_unix.c","/usr/include/unistd.h",128,138,334,334,"_tiffSeekProc(thandle_t, uint64_t, int) -> uint64_t","thandle_t fd, uint64_t off, int whence","uint64_t","unsigned long","lseek(int, __off64_t, __off_t, int) -> __off64_t","int __fd, __off64_t __offset, int __whence","__off_t","long"
