"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFWriteEncodedStrip","TIFFWriteCheck","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_write.c",217,321,600,600,"TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long","TIFFWriteCheck(TIFF *, int, const char *) -> int","TIFF * tif, int tiles, const char * module","int","int"
"TIFFWriteEncodedStrip","TIFFWriteCheck","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_write.c",217,321,600,600,"TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long","TIFFWriteCheck(TIFF *, int, const char *) -> int","TIFF * tif, int tiles, const char * module","int","int"
"TIFFWriteEncodedStrip","TIFFErrorExtR","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_error.c",217,321,107,107,"TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFWriteEncodedStrip","TIFFErrorExtR","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_error.c",217,321,107,107,"TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFWriteEncodedStrip","TIFFReverseBits","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_swab.c",217,321,310,310,"TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long","TIFFReverseBits(uint8_t *, tmsize_t) -> void","uint8_t * cp, tmsize_t n","void","void"
"TIFFWriteEncodedStrip","TIFFReverseBits","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_swab.c",217,321,310,310,"TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long","TIFFReverseBits(uint8_t *, tmsize_t) -> void","uint8_t * cp, tmsize_t n","void","void"
"TIFFWriteEncodedStrip","TIFFWriteBufferSetup","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_write.c",217,321,672,672,"TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long","TIFFWriteBufferSetup(TIFF *, void *, tmsize_t) -> int","TIFF * tif, void * bp, tmsize_t size","int","int"
"TIFFWriteEncodedStrip","TIFFWriteBufferSetup","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_write.c",217,321,672,672,"TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long","TIFFWriteBufferSetup(TIFF *, void *, tmsize_t) -> int","TIFF * tif, void * bp, tmsize_t size","int","int"
"TIFFWriteEncodedStrip","_TIFFSwab64BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",217,321,1658,1658,"TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFSwab64BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedStrip","_TIFFSwab64BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",217,321,1658,1658,"TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFSwab64BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
