"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFWriteEncodedTile","TIFFWriteCheck","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_write.c",415,522,600,600,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","TIFFWriteCheck(TIFF *, int, const char *) -> int","TIFF * tif, int tiles, const char * module","int","int"
"TIFFWriteEncodedTile","TIFFWriteCheck","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_write.c",415,522,600,600,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","TIFFWriteCheck(TIFF *, int, const char *) -> int","TIFF * tif, int tiles, const char * module","int","int"
"TIFFWriteEncodedTile","TIFFErrorExtR","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_error.c",415,522,107,107,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFWriteEncodedTile","TIFFErrorExtR","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_error.c",415,522,107,107,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFWriteEncodedTile","TIFFReverseBits","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_swab.c",415,522,310,310,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","TIFFReverseBits(uint8_t *, tmsize_t) -> void","uint8_t * cp, tmsize_t n","void","void"
"TIFFWriteEncodedTile","TIFFReverseBits","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_swab.c",415,522,310,310,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","TIFFReverseBits(uint8_t *, tmsize_t) -> void","uint8_t * cp, tmsize_t n","void","void"
"TIFFWriteEncodedTile","TIFFWriteBufferSetup","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_write.c",415,522,672,672,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","TIFFWriteBufferSetup(TIFF *, void *, tmsize_t) -> int","TIFF * tif, void * bp, tmsize_t size","int","int"
"TIFFWriteEncodedTile","TIFFWriteBufferSetup","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_write.c",415,522,672,672,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","TIFFWriteBufferSetup(TIFF *, void *, tmsize_t) -> int","TIFF * tif, void * bp, tmsize_t size","int","int"
"TIFFWriteEncodedTile","_TIFFSwab64BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",415,522,1658,1658,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFSwab64BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedTile","_TIFFSwab64BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",415,522,1658,1658,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFSwab64BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedTile","_TIFFSwab32BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",415,522,1651,1651,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFSwab32BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedTile","_TIFFSwab32BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",415,522,1651,1651,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFSwab32BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedTile","_TIFFSwab24BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",415,522,1644,1644,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFSwab24BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedTile","_TIFFSwab24BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",415,522,1644,1644,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFSwab24BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedTile","_TIFFSwab16BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",415,522,1637,1637,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFSwab16BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedTile","_TIFFSwab16BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",415,522,1637,1637,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFSwab16BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedTile","_TIFFNoPreCode","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_compress.c",415,522,128,128,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFNoPreCode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int"
"TIFFWriteEncodedTile","_TIFFNoPreCode","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_compress.c",415,522,128,128,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFNoPreCode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int"
"TIFFWriteEncodedTile","_TIFFNoPostDecode","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",415,522,1630,1630,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFNoPostDecode(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedTile","_TIFFNoPostDecode","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",415,522,1630,1630,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFNoPostDecode(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteEncodedTile","_TIFFNoTileEncode","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_compress.c",415,522,67,67,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFNoTileEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * pp, tmsize_t cc, uint16_t s","int","int"
"TIFFWriteEncodedTile","_TIFFNoTileEncode","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_compress.c",415,522,67,67,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFNoTileEncode(TIFF *, uint8_t *, tmsize_t, uint16_t) -> int","TIFF * tif, uint8_t * pp, tmsize_t cc, uint16_t s","int","int"
"TIFFWriteEncodedTile","_notConfigured","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_codec.c",415,522,110,110,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_notConfigured(TIFF *) -> int","TIFF * tif","int","int"
"TIFFWriteEncodedTile","_notConfigured","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_codec.c",415,522,110,110,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_notConfigured(TIFF *) -> int","TIFF * tif","int","int"
"TIFFWriteEncodedTile","_TIFFtrue","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_compress.c",415,522,135,135,"TIFFWriteEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * data, tmsize_t cc","tmsize_t","signed long","_TIFFtrue(TIFF *) -> int","TIFF * tif","int","int"
