"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFFWriteScanline","TIFFWriteCheck","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_write.c",48,181,600,600,"TIFFWriteScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","TIFFWriteCheck(TIFF *, int, const char *) -> int","TIFF * tif, int tiles, const char * module","int","int"
"TIFFWriteScanline","TIFFErrorExtR","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_error.c",48,181,107,107,"TIFFWriteScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","TIFFErrorExtR(TIFF *, const char *, const char *) -> void","TIFF * tif, const char * module, const char * fmt","void","void"
"TIFFWriteScanline","TIFFWriteBufferSetup","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_write.c",48,181,672,672,"TIFFWriteScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","TIFFWriteBufferSetup(TIFF *, void *, tmsize_t) -> int","TIFF * tif, void * bp, tmsize_t size","int","int"
"TIFFWriteScanline","TIFFFlushData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_flush.c",48,181,146,146,"TIFFWriteScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","TIFFFlushData(TIFF *) -> int","TIFF * tif","int","int"
"TIFFWriteScanline","_TIFFSwab64BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",48,181,1658,1658,"TIFFWriteScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFSwab64BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteScanline","_TIFFSwab32BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",48,181,1651,1651,"TIFFWriteScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFSwab32BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteScanline","_TIFFSwab24BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",48,181,1644,1644,"TIFFWriteScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFSwab24BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteScanline","_TIFFSwab16BitData","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_read.c",48,181,1637,1637,"TIFFWriteScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFSwab16BitData(TIFF *, uint8_t *, tmsize_t) -> void","TIFF * tif, uint8_t * buf, tmsize_t cc","void","void"
"TIFFWriteScanline","_TIFFNoSeek","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_compress.c",48,181,120,120,"TIFFWriteScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFNoSeek(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t off","int","int"
"TIFFWriteScanline","_TIFFNoPreCode","/src/libtiff/libtiff/tif_write.c","/src/libtiff/libtiff/tif_compress.c",48,181,128,128,"TIFFWriteScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int","_TIFFNoPreCode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int"
