"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"ZIPPreEncode","__assert_fail","/src/libtiff/libtiff/tif_zip.c","/usr/include/assert.h",348,368,69,69,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","__assert_fail(const char *, const char *, unsigned int, const char *) -> void","const char * __assertion, const char * __file, unsigned int __line, const char * __function","void","void"
"ZIPPreEncode","_notConfigured","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_codec.c",348,368,110,110,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","_notConfigured(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","_TIFFtrue","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_compress.c",348,368,135,135,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","_TIFFtrue(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","Fax3SetupState","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_fax3.c",348,368,522,522,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","Fax3SetupState(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","JBIGSetupEncode","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_jbig.c",348,368,128,128,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","JBIGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","JPEGSetupEncode","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_jpeg.c",348,368,1909,1909,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","JPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","LogLuvSetupEncode","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_luv.c",348,368,1577,1577,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","LogLuvSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","LZMASetupEncode","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_lzma.c",348,368,255,255,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","LZMASetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","LZWSetupEncode","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_lzw.c",348,368,1024,1024,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","LZWSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","OJPEGSetupEncode","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_ojpeg.c",348,368,1000,1000,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","OJPEGSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","PixarLogSetupEncode","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_pixarlog.c",348,368,994,994,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","PixarLogSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","deflateReset","/src/libtiff/libtiff/tif_zip.c","/src/zlib/deflate.c",348,368,695,695,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","deflateReset(z_streamp) -> int","z_streamp strm","int","int"
"ZIPPreEncode","PredictorSetupEncode","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_predict.c",348,368,226,226,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","PredictorSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
"ZIPPreEncode","ZIPSetupEncode","/src/libtiff/libtiff/tif_zip.c","/src/libtiff/libtiff/tif_zip.c",348,368,315,315,"ZIPPreEncode(TIFF *, uint16_t) -> int","TIFF * tif, uint16_t s","int","int","ZIPSetupEncode(TIFF *) -> int","TIFF * tif","int","int"
