"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"printTIF","printf","/src/libtiff/tools/fax2ps.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",211,285,105,105,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","printf(const char *__restrict__) -> int","const char *__restrict__ __fmt","int","int"
"printTIF","TIFFGetField","/src/libtiff/tools/fax2ps.c","/src/libtiff/libtiff/tif_dir.c",211,285,1581,1581,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"printTIF","TIFFFileName","/src/libtiff/tools/fax2ps.c","/src/libtiff/libtiff/tif_open.c",211,285,788,788,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"printTIF","TIFFReadEncodedStrip","/src/libtiff/tools/fax2ps.c","/src/libtiff/libtiff/tif_read.c",211,285,525,525,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"printTIF","TIFFReadEncodedStrip","/src/libtiff/tools/fax2ps.c","/src/libtiff/libtiff/tif_read.c",211,285,525,525,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"printTIF","TIFFSetField","/src/libtiff/tools/fax2ps.c","/src/libtiff/libtiff/tif_dir.c",211,285,1145,1145,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"printTIF","ctime","/src/libtiff/tools/fax2ps.c","/usr/include/time.h",211,285,142,142,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","ctime(const time_t *) -> char *","const time_t * __timer","char *","char *"
"printTIF","time","/src/libtiff/tools/fax2ps.c","/usr/include/time.h",211,285,75,75,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","time(time_t *) -> time_t","time_t * __timer","time_t","long"
"printTIF","TIFFNumberOfStrips","/src/libtiff/tools/fax2ps.c","/src/libtiff/libtiff/tif_strip.c",211,285,64,64,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","TIFFNumberOfStrips(TIFF *) -> uint32_t","TIFF * tif","uint32_t","unsigned int"
"printTIF","TIFFWarning","/src/libtiff/tools/fax2ps.c","/src/libtiff/libtiff/tif_warning.c",211,285,46,46,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","TIFFWarning(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"printTIF","emitFont","/src/libtiff/tools/fax2ps.c","/src/libtiff/tools/fax2ps.c",211,285,180,180,"printTIF(TIFF *, uint16_t) -> void","TIFF * tif, uint16_t pageNumber","void","void","emitFont(FILE *) -> void","FILE * fd","void","void"
