"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"processG3Options","strchr","/src/libtiff/tools/ppm2tiff.c","/usr/include/string.h",456,473,226,226,"processG3Options(char *) -> void","char * cp","void","void","strchr(const char *, int) -> char *","const char * __s, int __c","char *","char *"
"processG3Options","strncmp","/src/libtiff/tools/ppm2tiff.c","/usr/include/string.h",456,473,140,140,"processG3Options(char *) -> void","char * cp","void","void","strncmp(const char *, const char *, size_t) -> int","const char * __s1, const char * __s2, size_t __n","int","int"
"processG3Options","usage","/src/libtiff/tools/ppm2tiff.c","/src/libtiff/tools/ppm2tiff.c",456,473,564,564,"processG3Options(char *) -> void","char * cp","void","void","usage(int) -> void","int code","void","void"
"processG3Options","strchr","/src/libtiff/tools/tiffcp.c","/usr/include/string.h",456,474,226,226,"processG3Options(char *) -> void","char * cp","void","void","strchr(const char *, int) -> char *","const char * __s, int __c","char *","char *"
"processG3Options","strncmp","/src/libtiff/tools/tiffcp.c","/usr/include/string.h",456,474,140,140,"processG3Options(char *) -> void","char * cp","void","void","strncmp(const char *, const char *, size_t) -> int","const char * __s1, const char * __s2, size_t __n","int","int"
"processG3Options","usage","/src/libtiff/tools/tiffcp.c","/src/libtiff/tools/tiffcp.c",456,474,679,679,"processG3Options(char *) -> void","char * cp","void","void","usage(int) -> void","int code","void","void"
"processG3Options","strchr","/src/libtiff/tools/tiffcrop.c","/usr/include/string.h",1614,1632,226,226,"processG3Options(char *) -> void","char * cp","void","void","strchr(const char *, int) -> char *","const char * __s, int __c","char *","char *"
"processG3Options","strncmp","/src/libtiff/tools/tiffcrop.c","/usr/include/string.h",1614,1632,140,140,"processG3Options(char *) -> void","char * cp","void","void","strncmp(const char *, const char *, size_t) -> int","const char * __s1, const char * __s2, size_t __n","int","int"
"processG3Options","usage","/src/libtiff/tools/tiffcrop.c","/src/libtiff/tools/tiffcrop.c",1614,1632,1693,1693,"processG3Options(char *) -> void","char * cp","void","void","usage(int) -> void","int code","void","void"
"processG3Options","strchr","/src/libtiff/tools/tiffdither.c","/usr/include/string.h",169,185,226,226,"processG3Options(char *) -> void","char * cp","void","void","strchr(const char *, int) -> char *","const char * __s, int __c","char *","char *"
"processG3Options","strncmp","/src/libtiff/tools/tiffdither.c","/usr/include/string.h",169,185,140,140,"processG3Options(char *) -> void","char * cp","void","void","strncmp(const char *, const char *, size_t) -> int","const char * __s1, const char * __s2, size_t __n","int","int"
"processG3Options","usage","/src/libtiff/tools/tiffdither.c","/src/libtiff/tools/tiffdither.c",169,185,368,368,"processG3Options(char *) -> void","char * cp","void","void","usage(int) -> void","int code","void","void"
