"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"generateThumbnail","fprintf","/src/libtiff/tools/thumbnail.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",676,734,98,98,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"generateThumbnail","TIFFGetField","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_dir.c",676,734,1581,1581,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"generateThumbnail","TIFFGetFieldDefaulted","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_aux.c",676,734,377,377,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"generateThumbnail","TIFFFileName","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_open.c",676,734,788,788,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"generateThumbnail","_TIFFmalloc","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_unix.c",676,734,329,329,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"generateThumbnail","_TIFFfree","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_unix.c",676,734,345,345,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"generateThumbnail","TIFFReadEncodedStrip","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_read.c",676,734,525,525,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"generateThumbnail","TIFFReadEncodedStrip","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_read.c",676,734,525,525,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFReadEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"generateThumbnail","TIFFSetField","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_dir.c",676,734,1145,1145,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"generateThumbnail","TIFFWriteDirectory","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_dirwrite.c",676,734,235,235,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFWriteDirectory(TIFF *) -> int","TIFF * tif","int","int"
"generateThumbnail","TIFFWriteEncodedStrip","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_write.c",676,734,215,215,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"generateThumbnail","TIFFWriteEncodedStrip","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_write.c",676,734,215,215,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"generateThumbnail","TIFFNumberOfStrips","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_strip.c",676,734,64,64,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFNumberOfStrips(TIFF *) -> uint32_t","TIFF * tif","uint32_t","unsigned int"
"generateThumbnail","TIFFError","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_error.c",676,734,46,46,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"generateThumbnail","TIFFScanlineSize","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_strip.c",676,734,342,342,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"generateThumbnail","TIFFScanlineSize","/src/libtiff/tools/thumbnail.c","/src/libtiff/libtiff/tif_strip.c",676,734,342,342,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"generateThumbnail","setupCmap","/src/libtiff/tools/thumbnail.c","/src/libtiff/tools/thumbnail.c",676,734,486,486,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","setupCmap() -> void","","void","void"
"generateThumbnail","setImage","/src/libtiff/tools/thumbnail.c","/src/libtiff/tools/thumbnail.c",676,734,668,668,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","setImage(const uint8_t *, uint32_t, uint32_t) -> void","const uint8_t * br, uint32_t rw, uint32_t rh","void","void"
"generateThumbnail","cpTag","/src/libtiff/tools/thumbnail.c","/src/libtiff/tools/thumbnail.c",676,734,159,159,"generateThumbnail(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","cpTag(TIFF *, TIFF *, uint16_t, uint16_t, TIFFDataType) -> void","TIFF * in, TIFF * out, uint16_t tag, uint16_t count, TIFFDataType type","void","void"
