"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"t2pWriteFile","TIFFClientdata","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",443,449,818,818,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","TIFFClientdata(TIFF *) -> thandle_t","TIFF * tif","thandle_t","void *"
"t2pWriteFile","TIFFClientdata","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",443,449,818,818,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","TIFFClientdata(TIFF *) -> thandle_t","TIFF * tif","thandle_t","void *"
"t2pWriteFile","TIFFClientdata","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",443,449,818,818,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","TIFFClientdata(TIFF *) -> thandle_t","TIFF * tif","thandle_t","void *"
"t2pWriteFile","TIFFClientdata","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",443,449,818,818,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","TIFFClientdata(TIFF *) -> thandle_t","TIFF * tif","thandle_t","void *"
"t2pWriteFile","TIFFGetWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",443,449,907,907,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","TIFFGetWriteProc(TIFF *) -> TIFFReadWriteProc","TIFF * tif","TIFFReadWriteProc","..(*)(..)"
"t2pWriteFile","TIFFGetWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",443,449,907,907,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","TIFFGetWriteProc(TIFF *) -> TIFFReadWriteProc","TIFF * tif","TIFFReadWriteProc","..(*)(..)"
"t2pWriteFile","TIFFGetWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",443,449,907,907,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","TIFFGetWriteProc(TIFF *) -> TIFFReadWriteProc","TIFF * tif","TIFFReadWriteProc","..(*)(..)"
"t2pWriteFile","TIFFGetWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",443,449,907,907,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","TIFFGetWriteProc(TIFF *) -> TIFFReadWriteProc","TIFF * tif","TIFFReadWriteProc","..(*)(..)"
"t2pWriteFile","_tiffosWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_stream.cxx",443,449,122,122,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","_tiffosWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"t2pWriteFile","_tiffosWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_stream.cxx",443,449,122,122,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","_tiffosWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"t2pWriteFile","_tiffosWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_stream.cxx",443,449,122,122,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","_tiffosWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"t2pWriteFile","_tiffosWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_stream.cxx",443,449,122,122,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","_tiffosWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t fd, void * buf, tmsize_t size","tmsize_t","signed long"
"t2pWriteFile","_tiffisWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_stream.cxx",443,449,138,138,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","_tiffisWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"t2pWriteFile","_tiffisWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_stream.cxx",443,449,138,138,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","_tiffisWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"t2pWriteFile","_tiffisWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_stream.cxx",443,449,138,138,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","_tiffisWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
"t2pWriteFile","_tiffisWriteProc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_stream.cxx",443,449,138,138,"t2pWriteFile(TIFF *, tdata_t, tmsize_t) -> tmsize_t","TIFF * tif, tdata_t data, tmsize_t size","tmsize_t","signed long","_tiffisWriteProc(thandle_t, void *, tmsize_t) -> tmsize_t","thandle_t (unnamed parameter 0), void * (unnamed parameter 1), tmsize_t (unnamed parameter 2)","tmsize_t","signed long"
