"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"t2p_read_tiff_data","TIFFGetField","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_dir.c",1428,2160,1581,1581,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"t2p_read_tiff_data","TIFFGetFieldDefaulted","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_aux.c",1428,2160,377,377,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"t2p_read_tiff_data","TIFFFileName","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",1428,2160,788,788,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"t2p_read_tiff_data","_TIFFmalloc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",1428,2160,329,329,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"t2p_read_tiff_data","_TIFFfree","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",1428,2160,345,345,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","_TIFFfree(void *) -> void","void * p","void","void"
"t2p_read_tiff_data","TIFFIsTiled","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",1428,2160,849,849,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFIsTiled(TIFF *) -> int","TIFF * tif","int","int"
"t2p_read_tiff_data","TIFFSetDirectory","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_dir.c",1428,2160,2055,2055,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFSetDirectory(TIFF *, tdir_t) -> int","TIFF * tif, tdir_t dirn","int","int"
"t2p_read_tiff_data","TIFFNumberOfStrips","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",1428,2160,64,64,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFNumberOfStrips(TIFF *) -> uint32_t","TIFF * tif","uint32_t","unsigned int"
"t2p_read_tiff_data","TIFFWarning","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_warning.c",1428,2160,46,46,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFWarning(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"t2p_read_tiff_data","TIFFError","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_error.c",1428,2160,46,46,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"t2p_read_tiff_data","TIFFIsCODECConfigured","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_codec.c",1428,2160,146,146,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFIsCODECConfigured(uint16_t) -> int","uint16_t scheme","int","int"
"t2p_read_tiff_data","t2p_compose_pdf_page","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",1428,2160,5070,5070,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","t2p_compose_pdf_page(T2P *) -> void","T2P * t2p","void","void"
"t2p_read_tiff_data","t2p_process_ojpeg_tables","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",1428,2160,3723,3723,"t2p_read_tiff_data(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","t2p_process_ojpeg_tables(T2P *, TIFF *) -> int","T2P * t2p, TIFF * input","int","int"
