"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"t2p_read_tiff_size","TIFFGetField","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_dir.c",2181,2340,1581,1581,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"t2p_read_tiff_size","TIFFFileName","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",2181,2340,788,788,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"t2p_read_tiff_size","TIFFStripSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",2181,2340,203,203,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_read_tiff_size","TIFFStripSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",2181,2340,203,203,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_read_tiff_size","TIFFNumberOfStrips","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",2181,2340,64,64,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFNumberOfStrips(TIFF *) -> uint32_t","TIFF * tif","uint32_t","unsigned int"
"t2p_read_tiff_size","TIFFWarning","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_warning.c",2181,2340,46,46,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFWarning(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"t2p_read_tiff_size","TIFFError","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_error.c",2181,2340,46,46,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"t2p_read_tiff_size","TIFFScanlineSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",2181,2340,342,342,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_read_tiff_size","TIFFScanlineSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",2181,2340,342,342,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_read_tiff_size","checkAdd64","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",2181,2340,510,510,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","checkAdd64(uint64_t, uint64_t, T2P *) -> uint64_t","uint64_t summand1, uint64_t summand2, T2P * t2p","uint64_t","unsigned long"
"t2p_read_tiff_size","t2p_set_tiff_datasize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",2181,2340,2165,2165,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","t2p_set_tiff_datasize(T2P *, uint64_t) -> void","T2P * t2p, uint64_t k","void","void"
"t2p_read_tiff_size","checkMultiply64","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",2181,2340,525,525,"t2p_read_tiff_size(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void","checkMultiply64(uint64_t, uint64_t, T2P *) -> uint64_t","uint64_t first, uint64_t second, T2P * t2p","uint64_t","unsigned long"
