"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"t2p_readwrite_pdf_image","memset","/src/libtiff/tools/tiff2pdf.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",2493,3168,59,59,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"t2p_readwrite_pdf_image","memset","/src/libtiff/tools/tiff2pdf.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",2493,3168,59,59,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"t2p_readwrite_pdf_image","TIFFGetField","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_dir.c",2493,3168,1581,1581,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"t2p_readwrite_pdf_image","TIFFGetField","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_dir.c",2493,3168,1581,1581,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"t2p_readwrite_pdf_image","TIFFFileName","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",2493,3168,788,788,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"t2p_readwrite_pdf_image","TIFFFileName","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",2493,3168,788,788,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"t2p_readwrite_pdf_image","_TIFFmalloc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",2493,3168,329,329,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"t2p_readwrite_pdf_image","_TIFFmalloc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",2493,3168,329,329,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"t2p_readwrite_pdf_image","_TIFFfree","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",2493,3168,345,345,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","_TIFFfree(void *) -> void","void * p","void","void"
"t2p_readwrite_pdf_image","_TIFFfree","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",2493,3168,345,345,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","_TIFFfree(void *) -> void","void * p","void","void"
"t2p_readwrite_pdf_image","TIFFStripSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",2493,3168,203,203,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image","TIFFStripSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",2493,3168,203,203,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image","TIFFStripSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",2493,3168,203,203,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image","TIFFStripSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",2493,3168,203,203,"t2p_readwrite_pdf_image(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
