"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"t2p_readwrite_pdf_image_tile","memset","/src/libtiff/tools/tiff2pdf.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",3178,3720,59,59,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"t2p_readwrite_pdf_image_tile","memset","/src/libtiff/tools/tiff2pdf.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",3178,3720,59,59,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"t2p_readwrite_pdf_image_tile","TIFFGetField","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_dir.c",3178,3720,1581,1581,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"t2p_readwrite_pdf_image_tile","TIFFGetField","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_dir.c",3178,3720,1581,1581,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"t2p_readwrite_pdf_image_tile","TIFFFileName","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",3178,3720,788,788,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"t2p_readwrite_pdf_image_tile","TIFFFileName","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_open.c",3178,3720,788,788,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"t2p_readwrite_pdf_image_tile","_TIFFmalloc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",3178,3720,329,329,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"t2p_readwrite_pdf_image_tile","_TIFFmalloc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",3178,3720,329,329,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"t2p_readwrite_pdf_image_tile","_TIFFfree","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",3178,3720,345,345,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","_TIFFfree(void *) -> void","void * p","void","void"
"t2p_readwrite_pdf_image_tile","_TIFFfree","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",3178,3720,345,345,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","_TIFFfree(void *) -> void","void * p","void","void"
"t2p_readwrite_pdf_image_tile","TIFFTileSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_tile.c",3178,3720,253,253,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFTileSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_tile.c",3178,3720,253,253,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFTileSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_tile.c",3178,3720,253,253,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFTileSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_tile.c",3178,3720,253,253,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFStripSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",3178,3720,203,203,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFStripSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",3178,3720,203,203,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFStripSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",3178,3720,203,203,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFStripSize","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_strip.c",3178,3720,203,203,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFReadEncodedTile","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_read.c",3178,3720,941,941,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFReadEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFReadEncodedTile","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_read.c",3178,3720,941,941,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFReadEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFReadEncodedTile","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_read.c",3178,3720,941,941,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFReadEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFReadEncodedTile","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_read.c",3178,3720,941,941,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFReadEncodedTile(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t tile, void * buf, tmsize_t size","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFSetField","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_dir.c",3178,3720,1145,1145,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"t2p_readwrite_pdf_image_tile","TIFFSetField","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_dir.c",3178,3720,1145,1145,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"t2p_readwrite_pdf_image_tile","TIFFWriteEncodedStrip","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_write.c",3178,3720,215,215,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFWriteEncodedStrip","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_write.c",3178,3720,215,215,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFWriteEncodedStrip","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_write.c",3178,3720,215,215,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","TIFFWriteEncodedStrip","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_write.c",3178,3720,215,215,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"t2p_readwrite_pdf_image_tile","_TIFFmemcpy","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",3178,3720,351,351,"t2p_readwrite_pdf_image_tile(T2P *, TIFF *, TIFF *, ttile_t) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output, ttile_t tile","tsize_t","signed long","_TIFFmemcpy(void *, const void *, tmsize_t) -> void","void * d, const void * s, tmsize_t c","void","void"
