"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"t2p_write_pdf","_TIFFmalloc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",6263,6469,329,329,"t2p_write_pdf(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"t2p_write_pdf","_TIFFmalloc","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_unix.c",6263,6469,329,329,"t2p_write_pdf(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"t2p_write_pdf","TIFFError","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_error.c",6263,6469,46,46,"t2p_write_pdf(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"t2p_write_pdf","TIFFError","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/libtiff/tif_error.c",6263,6469,46,46,"t2p_write_pdf(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"t2p_write_pdf","t2p_read_tiff_init","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",6263,6469,1154,1154,"t2p_write_pdf(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","t2p_read_tiff_init(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void"
"t2p_write_pdf","t2p_read_tiff_init","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",6263,6469,1154,1154,"t2p_write_pdf(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","t2p_read_tiff_init(T2P *, TIFF *) -> void","T2P * t2p, TIFF * input","void","void"
"t2p_write_pdf","t2p_write_pdf_header","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",6263,6469,4340,4340,"t2p_write_pdf(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","t2p_write_pdf_header(T2P *, TIFF *) -> tsize_t","T2P * t2p, TIFF * output","tsize_t","signed long"
"t2p_write_pdf","t2p_write_pdf_header","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",6263,6469,4340,4340,"t2p_write_pdf(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","t2p_write_pdf_header(T2P *, TIFF *) -> tsize_t","T2P * t2p, TIFF * output","tsize_t","signed long"
"t2p_write_pdf","t2p_write_pdf_header","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",6263,6469,4340,4340,"t2p_write_pdf(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","t2p_write_pdf_header(T2P *, TIFF *) -> tsize_t","T2P * t2p, TIFF * output","tsize_t","signed long"
"t2p_write_pdf","t2p_write_pdf_header","/src/libtiff/tools/tiff2pdf.c","/src/libtiff/tools/tiff2pdf.c",6263,6469,4340,4340,"t2p_write_pdf(T2P *, TIFF *, TIFF *) -> tsize_t","T2P * t2p, TIFF * input, TIFF * output","tsize_t","signed long","t2p_write_pdf_header(T2P *, TIFF *) -> tsize_t","T2P * t2p, TIFF * output","tsize_t","signed long"
