"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"PSRawDataBW","putc","/src/libtiff/tools/tiff2ps.c","/usr/include/stdio.h",3092,3197,522,522,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","putc(int, FILE *) -> int","int __c, FILE * __stream","int","int"
"PSRawDataBW","fwrite","/src/libtiff/tools/tiff2ps.c","/usr/include/stdio.h",3092,3197,652,652,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","fwrite(const void *__restrict__, size_t, size_t, FILE *__restrict__) -> size_t","const void *__restrict__ __ptr, size_t __size, size_t __n, FILE *__restrict__ __s","size_t","unsigned long"
"PSRawDataBW","fwrite","/src/libtiff/tools/tiff2ps.c","/usr/include/stdio.h",3092,3197,652,652,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","fwrite(const void *__restrict__, size_t, size_t, FILE *__restrict__) -> size_t","const void *__restrict__ __ptr, size_t __size, size_t __n, FILE *__restrict__ __s","size_t","unsigned long"
"PSRawDataBW","fputs","/src/libtiff/tools/tiff2ps.c","/usr/include/stdio.h",3092,3197,626,626,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","fputs(const char *__restrict__, FILE *__restrict__) -> int","const char *__restrict__ __s, FILE *__restrict__ __stream","int","int"
"PSRawDataBW","TIFFGetField","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_dir.c",3092,3197,1581,1581,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"PSRawDataBW","TIFFGetFieldDefaulted","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_aux.c",3092,3197,377,377,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"PSRawDataBW","_TIFFfree","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_unix.c",3092,3197,345,345,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","_TIFFfree(void *) -> void","void * p","void","void"
"PSRawDataBW","TIFFReverseBits","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_swab.c",3092,3197,310,310,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","TIFFReverseBits(uint8_t *, tmsize_t) -> void","uint8_t * cp, tmsize_t n","void","void"
"PSRawDataBW","TIFFReadRawStrip","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_read.c",3092,3197,705,705,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"PSRawDataBW","TIFFReadRawStrip","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_read.c",3092,3197,705,705,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","TIFFReadRawStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * buf, tmsize_t size","tmsize_t","signed long"
"PSRawDataBW","TIFFError","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_error.c",3092,3197,46,46,"PSRawDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
