"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"PS_Lvl2page","putc","/src/libtiff/tools/tiff2ps.c","/usr/include/stdio.h",2409,2614,522,522,"PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int","putc(int, FILE *) -> int","int __c, FILE * __stream","int","int"
"PS_Lvl2page","fwrite","/src/libtiff/tools/tiff2ps.c","/usr/include/stdio.h",2409,2614,652,652,"PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int","fwrite(const void *__restrict__, size_t, size_t, FILE *__restrict__) -> size_t","const void *__restrict__ __ptr, size_t __size, size_t __n, FILE *__restrict__ __s","size_t","unsigned long"
"PS_Lvl2page","fwrite","/src/libtiff/tools/tiff2ps.c","/usr/include/stdio.h",2409,2614,652,652,"PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int","fwrite(const void *__restrict__, size_t, size_t, FILE *__restrict__) -> size_t","const void *__restrict__ __ptr, size_t __size, size_t __n, FILE *__restrict__ __s","size_t","unsigned long"
"PS_Lvl2page","fputs","/src/libtiff/tools/tiff2ps.c","/usr/include/stdio.h",2409,2614,626,626,"PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int","fputs(const char *__restrict__, FILE *__restrict__) -> int","const char *__restrict__ __s, FILE *__restrict__ __stream","int","int"
"PS_Lvl2page","TIFFGetField","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_dir.c",2409,2614,1581,1581,"PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"PS_Lvl2page","TIFFGetFieldDefaulted","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_aux.c",2409,2614,377,377,"PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"PS_Lvl2page","_TIFFfree","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_unix.c",2409,2614,345,345,"PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"PS_Lvl2page","TIFFTileSize","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_tile.c",2409,2614,253,253,"PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"PS_Lvl2page","TIFFTileSize","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_tile.c",2409,2614,253,253,"PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"PS_Lvl2page","TIFFStripSize","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_strip.c",2409,2614,203,203,"PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
