"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"PSpage","putc","/src/libtiff/tools/tiff2ps.c","/usr/include/stdio.h",2617,2681,522,522,"PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","putc(int, FILE *) -> int","int __c, FILE * __stream","int","int"
"PSpage","fprintf","/src/libtiff/tools/tiff2ps.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",2617,2681,98,98,"PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"PSpage","PSDataBW","/src/libtiff/tools/tiff2ps.c","/src/libtiff/tools/tiff2ps.c",2617,2681,2943,2943,"PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","PSDataBW(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void"
"PSpage","PSDataPalette","/src/libtiff/tools/tiff2ps.c","/src/libtiff/tools/tiff2ps.c",2617,2681,2843,2843,"PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","PSDataPalette(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void"
"PSpage","PSDataColorSeparate","/src/libtiff/tools/tiff2ps.c","/src/libtiff/tools/tiff2ps.c",2617,2681,2803,2803,"PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","PSDataColorSeparate(FILE *, TIFF *, uint32_t, uint32_t, int) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h, int nc","void","void"
"PSpage","PSDataColorContig","/src/libtiff/tools/tiff2ps.c","/src/libtiff/tools/tiff2ps.c",2617,2681,2722,2722,"PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","PSDataColorContig(FILE *, TIFF *, uint32_t, uint32_t, int) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h, int nc","void","void"
"PSpage","PSColorSeparatePreamble","/src/libtiff/tools/tiff2ps.c","/src/libtiff/tools/tiff2ps.c",2617,2681,2694,2694,"PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","PSColorSeparatePreamble(FILE *, uint32_t, uint32_t, int) -> void","FILE * fd, uint32_t w, uint32_t h, int nc","void","void"
"PSpage","PhotoshopBanner","/src/libtiff/tools/tiff2ps.c","/src/libtiff/tools/tiff2ps.c",2617,2681,678,678,"PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","PhotoshopBanner(FILE *, uint32_t, uint32_t, int, int, const char *) -> void","FILE * fd, uint32_t w, uint32_t h, int bs, int nc, const char * startline","void","void"
"PSpage","PSColorContigPreamble","/src/libtiff/tools/tiff2ps.c","/src/libtiff/tools/tiff2ps.c",2617,2681,2683,2683,"PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","PSColorContigPreamble(FILE *, uint32_t, uint32_t, int) -> void","FILE * fd, uint32_t w, uint32_t h, int nc","void","void"
"PSpage","PS_Lvl2page","/src/libtiff/tools/tiff2ps.c","/src/libtiff/tools/tiff2ps.c",2617,2681,2408,2408,"PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void","PS_Lvl2page(FILE *, TIFF *, uint32_t, uint32_t) -> int","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","int","int"
