"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"TIFF2PS","fprintf","/src/libtiff/tools/tiff2ps.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",1713,1867,98,98,"TIFF2PS(FILE *, TIFF *, double, double, double, double, int) -> int","FILE * fd, TIFF * tif, double pgwidth, double pgheight, double lm, double bm, int center","int","int","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"TIFF2PS","TIFFGetField","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_dir.c",1713,1867,1581,1581,"TIFF2PS(FILE *, TIFF *, double, double, double, double, int) -> int","FILE * fd, TIFF * tif, double pgwidth, double pgheight, double lm, double bm, int center","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFF2PS","TIFFGetFieldDefaulted","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_aux.c",1713,1867,377,377,"TIFF2PS(FILE *, TIFF *, double, double, double, double, int) -> int","FILE * fd, TIFF * tif, double pgwidth, double pgheight, double lm, double bm, int center","int","int","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"TIFF2PS","TIFFNumberOfStrips","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_strip.c",1713,1867,64,64,"TIFF2PS(FILE *, TIFF *, double, double, double, double, int) -> int","FILE * fd, TIFF * tif, double pgwidth, double pgheight, double lm, double bm, int center","int","int","TIFFNumberOfStrips(TIFF *) -> uint32_t","TIFF * tif","uint32_t","unsigned int"
"TIFF2PS","TIFFError","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_error.c",1713,1867,46,46,"TIFF2PS(FILE *, TIFF *, double, double, double, double, int) -> int","FILE * fd, TIFF * tif, double pgwidth, double pgheight, double lm, double bm, int center","int","int","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"TIFF2PS","TIFFScanlineSize","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_strip.c",1713,1867,342,342,"TIFF2PS(FILE *, TIFF *, double, double, double, double, int) -> int","FILE * fd, TIFF * tif, double pgwidth, double pgheight, double lm, double bm, int center","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFF2PS","TIFFScanlineSize","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_strip.c",1713,1867,342,342,"TIFF2PS(FILE *, TIFF *, double, double, double, double, int) -> int","FILE * fd, TIFF * tif, double pgwidth, double pgheight, double lm, double bm, int center","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"TIFF2PS","TIFFReadDirectory","/src/libtiff/tools/tiff2ps.c","/src/libtiff/libtiff/tif_dirread.c",1713,1867,4233,4233,"TIFF2PS(FILE *, TIFF *, double, double, double, double, int) -> int","FILE * fd, TIFF * tif, double pgwidth, double pgheight, double lm, double bm, int center","int","int","TIFFReadDirectory(TIFF *) -> int","TIFF * tif","int","int"
"TIFF2PS","PSpage","/src/libtiff/tools/tiff2ps.c","/src/libtiff/tools/tiff2ps.c",1713,1867,2616,2616,"TIFF2PS(FILE *, TIFF *, double, double, double, double, int) -> int","FILE * fd, TIFF * tif, double pgwidth, double pgheight, double lm, double bm, int center","int","int","PSpage(FILE *, TIFF *, uint32_t, uint32_t) -> void","FILE * fd, TIFF * tif, uint32_t w, uint32_t h","void","void"
"TIFF2PS","isCCITTCompression","/src/libtiff/tools/tiff2ps.c","/src/libtiff/tools/tiff2ps.c",1713,1867,745,745,"TIFF2PS(FILE *, TIFF *, double, double, double, double, int) -> int","FILE * fd, TIFF * tif, double pgwidth, double pgheight, double lm, double bm, int center","int","int","isCCITTCompression(TIFF *) -> int","TIFF * tif","int","int"
