"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"cvt_whole_image","TIFFGetField","/src/libtiff/tools/tiff2rgba.c","/src/libtiff/libtiff/tif_dir.c",423,545,1581,1581,"cvt_whole_image(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"cvt_whole_image","TIFFFileName","/src/libtiff/tools/tiff2rgba.c","/src/libtiff/libtiff/tif_open.c",423,545,788,788,"cvt_whole_image(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"cvt_whole_image","_TIFFfree","/src/libtiff/tools/tiff2rgba.c","/src/libtiff/libtiff/tif_unix.c",423,545,345,345,"cvt_whole_image(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"cvt_whole_image","TIFFSetField","/src/libtiff/tools/tiff2rgba.c","/src/libtiff/libtiff/tif_dir.c",423,545,1145,1145,"cvt_whole_image(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"cvt_whole_image","TIFFWriteEncodedStrip","/src/libtiff/tools/tiff2rgba.c","/src/libtiff/libtiff/tif_write.c",423,545,215,215,"cvt_whole_image(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"cvt_whole_image","TIFFWriteEncodedStrip","/src/libtiff/tools/tiff2rgba.c","/src/libtiff/libtiff/tif_write.c",423,545,215,215,"cvt_whole_image(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"cvt_whole_image","_TIFFCheckMalloc","/src/libtiff/tools/tiff2rgba.c","/src/libtiff/libtiff/tif_aux.c",423,545,122,122,"cvt_whole_image(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","_TIFFCheckMalloc(TIFF *, tmsize_t, tmsize_t, const char *) -> void *","TIFF * tif, tmsize_t nmemb, tmsize_t elem_size, const char * what","void *","void *"
"cvt_whole_image","TIFFError","/src/libtiff/tools/tiff2rgba.c","/src/libtiff/libtiff/tif_error.c",423,545,46,46,"cvt_whole_image(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"cvt_whole_image","TIFFReadRGBAImageOriented","/src/libtiff/tools/tiff2rgba.c","/src/libtiff/libtiff/tif_getimage.c",423,545,610,610,"cvt_whole_image(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFReadRGBAImageOriented(TIFF *, uint32_t, uint32_t, uint32_t *, int, int) -> int","TIFF * tif, uint32_t rwidth, uint32_t rheight, uint32_t * raster, int orientation, int stop","int","int"
"cvt_whole_image","TIFFDefaultStripSize","/src/libtiff/tools/tiff2rgba.c","/src/libtiff/libtiff/tif_strip.c",423,545,217,217,"cvt_whole_image(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFDefaultStripSize(TIFF *, uint32_t) -> uint32_t","TIFF * tif, uint32_t request","uint32_t","unsigned int"
