"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"tiffcvt","strrchr","/src/libtiff/tools/rgb2ycbcr.c","/usr/include/string.h",298,376,253,253,"tiffcvt(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","strrchr(const char *, int) -> char *","const char * __s, int __c","char *","char *"
"tiffcvt","snprintf","/src/libtiff/tools/rgb2ycbcr.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",298,376,64,64,"tiffcvt(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","snprintf(char *__restrict__, size_t, const char *__restrict__) -> int","char *__restrict__ __s, size_t __n, const char *__restrict__ __fmt","int","int"
"tiffcvt","TIFFGetField","/src/libtiff/tools/rgb2ycbcr.c","/src/libtiff/libtiff/tif_dir.c",298,376,1581,1581,"tiffcvt(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"tiffcvt","TIFFFileName","/src/libtiff/tools/rgb2ycbcr.c","/src/libtiff/libtiff/tif_open.c",298,376,788,788,"tiffcvt(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"tiffcvt","_TIFFfree","/src/libtiff/tools/rgb2ycbcr.c","/src/libtiff/libtiff/tif_unix.c",298,376,345,345,"tiffcvt(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"tiffcvt","TIFFSetField","/src/libtiff/tools/rgb2ycbcr.c","/src/libtiff/libtiff/tif_dir.c",298,376,1145,1145,"tiffcvt(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFSetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"tiffcvt","_TIFFCheckMalloc","/src/libtiff/tools/rgb2ycbcr.c","/src/libtiff/libtiff/tif_aux.c",298,376,122,122,"tiffcvt(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","_TIFFCheckMalloc(TIFF *, tmsize_t, tmsize_t, const char *) -> void *","TIFF * tif, tmsize_t nmemb, tmsize_t elem_size, const char * what","void *","void *"
"tiffcvt","TIFFError","/src/libtiff/tools/rgb2ycbcr.c","/src/libtiff/libtiff/tif_error.c",298,376,46,46,"tiffcvt(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"tiffcvt","TIFFReadRGBAImage","/src/libtiff/tools/rgb2ycbcr.c","/src/libtiff/libtiff/tif_getimage.c",298,376,637,637,"tiffcvt(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFReadRGBAImage(TIFF *, uint32_t, uint32_t, uint32_t *, int) -> int","TIFF * tif, uint32_t rwidth, uint32_t rheight, uint32_t * raster, int stop","int","int"
"tiffcvt","TIFFDefaultStripSize","/src/libtiff/tools/rgb2ycbcr.c","/src/libtiff/libtiff/tif_strip.c",298,376,217,217,"tiffcvt(TIFF *, TIFF *) -> int","TIFF * in, TIFF * out","int","int","TIFFDefaultStripSize(TIFF *, uint32_t) -> uint32_t","TIFF * tif, uint32_t request","uint32_t","unsigned int"
