"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"tiffcmp","exit","/src/libtiff/tools/tiffcmp.c","/usr/include/stdlib.h",165,269,617,617,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","exit(int) -> void","int __status","void","void"
"tiffcmp","fprintf","/src/libtiff/tools/tiffcmp.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",165,269,98,98,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"tiffcmp","TIFFGetField","/src/libtiff/tools/tiffcmp.c","/src/libtiff/libtiff/tif_dir.c",165,269,1581,1581,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"tiffcmp","TIFFFileName","/src/libtiff/tools/tiffcmp.c","/src/libtiff/libtiff/tif_open.c",165,269,788,788,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"tiffcmp","_TIFFmalloc","/src/libtiff/tools/tiffcmp.c","/src/libtiff/libtiff/tif_unix.c",165,269,329,329,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","_TIFFmalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"tiffcmp","_TIFFfree","/src/libtiff/tools/tiffcmp.c","/src/libtiff/libtiff/tif_unix.c",165,269,345,345,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"tiffcmp","TIFFReadScanline","/src/libtiff/tools/tiffcmp.c","/src/libtiff/libtiff/tif_read.c",165,269,447,447,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int"
"tiffcmp","TIFFScanlineSize","/src/libtiff/tools/tiffcmp.c","/src/libtiff/libtiff/tif_strip.c",165,269,342,342,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"tiffcmp","TIFFScanlineSize","/src/libtiff/tools/tiffcmp.c","/src/libtiff/libtiff/tif_strip.c",165,269,342,342,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"tiffcmp","leof","/src/libtiff/tools/tiffcmp.c","/src/libtiff/tools/tiffcmp.c",165,269,703,703,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","leof(const char *, uint32_t, int) -> void","const char * name, uint32_t row, int s","void","void"
"tiffcmp","CheckLongTag","/src/libtiff/tools/tiffcmp.c","/src/libtiff/tools/tiffcmp.c",165,269,685,685,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","CheckLongTag(TIFF *, TIFF *, int, char *) -> int","TIFF * tif1, TIFF * tif2, int tag, char * name","int","int"
"tiffcmp","CheckShortTag","/src/libtiff/tools/tiffcmp.c","/src/libtiff/tools/tiffcmp.c",165,269,616,616,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","CheckShortTag(TIFF *, TIFF *, int, char *) -> int","TIFF * tif1, TIFF * tif2, int tag, char * name","int","int"
"tiffcmp","SeparateCompare","/src/libtiff/tools/tiffcmp.c","/src/libtiff/tools/tiffcmp.c",165,269,557,557,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","SeparateCompare(int, int, uint32_t, unsigned char *, unsigned char *) -> int","int reversed, int sample, uint32_t row, unsigned char * cp1, unsigned char * p2","int","int"
"tiffcmp","ContigCompare","/src/libtiff/tools/tiffcmp.c","/src/libtiff/tools/tiffcmp.c",165,269,359,359,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","ContigCompare(int, uint32_t, unsigned char *, unsigned char *, tsize_t) -> int","int sample, uint32_t row, unsigned char * p1, unsigned char * p2, tsize_t size","int","int"
"tiffcmp","cmptags","/src/libtiff/tools/tiffcmp.c","/src/libtiff/tools/tiffcmp.c",165,269,290,290,"tiffcmp(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int","cmptags(TIFF *, TIFF *) -> int","TIFF * tif1, TIFF * tif2","int","int"
