"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"dump_buffer","empty_mem_output_buffer","/src/libjpeg-turbo/src/jchuff.c","/src/libjpeg-turbo/src/jdatadst-tj.c",335,344,86,86,"dump_buffer(working_state *) -> boolean","working_state * state","boolean","int","empty_mem_output_buffer(j_compress_ptr) -> boolean","j_compress_ptr cinfo","boolean","int"
"dump_buffer","empty_mem_output_buffer","/src/libjpeg-turbo/src/jchuff.c","/src/libjpeg-turbo/src/jdatadst-tj.c",335,344,86,86,"dump_buffer(working_state *) -> boolean","working_state * state","boolean","int","empty_mem_output_buffer(j_compress_ptr) -> boolean","j_compress_ptr cinfo","boolean","int"
"dump_buffer","empty_mem_output_buffer","/src/libjpeg-turbo/src/jchuff.c","/src/libjpeg-turbo/src/jdatadst-tj.c",335,344,86,86,"dump_buffer(working_state *) -> boolean","working_state * state","boolean","int","empty_mem_output_buffer(j_compress_ptr) -> boolean","j_compress_ptr cinfo","boolean","int"
"dump_buffer","empty_mem_output_buffer","/src/libjpeg-turbo/src/jchuff.c","/src/libjpeg-turbo/src/jdatadst-tj.c",335,344,86,86,"dump_buffer(working_state *) -> boolean","working_state * state","boolean","int","empty_mem_output_buffer(j_compress_ptr) -> boolean","j_compress_ptr cinfo","boolean","int"
"dump_buffer","empty_mem_output_buffer","/src/libjpeg-turbo/src/jchuff.c","/src/libjpeg-turbo/src/jdatadst.c",335,344,121,121,"dump_buffer(working_state *) -> boolean","working_state * state","boolean","int","empty_mem_output_buffer(j_compress_ptr) -> boolean","j_compress_ptr cinfo","boolean","int"
"dump_buffer","empty_mem_output_buffer","/src/libjpeg-turbo/src/jchuff.c","/src/libjpeg-turbo/src/jdatadst.c",335,344,121,121,"dump_buffer(working_state *) -> boolean","working_state * state","boolean","int","empty_mem_output_buffer(j_compress_ptr) -> boolean","j_compress_ptr cinfo","boolean","int"
"dump_buffer","empty_mem_output_buffer","/src/libjpeg-turbo/src/jchuff.c","/src/libjpeg-turbo/src/jdatadst.c",335,344,121,121,"dump_buffer(working_state *) -> boolean","working_state * state","boolean","int","empty_mem_output_buffer(j_compress_ptr) -> boolean","j_compress_ptr cinfo","boolean","int"
"dump_buffer","empty_mem_output_buffer","/src/libjpeg-turbo/src/jchuff.c","/src/libjpeg-turbo/src/jdatadst.c",335,344,121,121,"dump_buffer(working_state *) -> boolean","working_state * state","boolean","int","empty_mem_output_buffer(j_compress_ptr) -> boolean","j_compress_ptr cinfo","boolean","int"
"dump_buffer","empty_output_buffer","/src/libjpeg-turbo/src/jchuff.c","/src/libjpeg-turbo/src/jdatadst.c",335,344,106,106,"dump_buffer(working_state *) -> boolean","working_state * state","boolean","int","empty_output_buffer(j_compress_ptr) -> boolean","j_compress_ptr cinfo","boolean","int"
"dump_buffer","empty_output_buffer","/src/libjpeg-turbo/src/jchuff.c","/src/libjpeg-turbo/src/jdatadst.c",335,344,106,106,"dump_buffer(working_state *) -> boolean","working_state * state","boolean","int","empty_output_buffer(j_compress_ptr) -> boolean","j_compress_ptr cinfo","boolean","int"
