"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"readSeparateStripsIntoBuffer","TIFFFileName","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_open.c",1663,1706,788,788,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * in, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"readSeparateStripsIntoBuffer","_TIFFfree","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_unix.c",1663,1706,345,345,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * in, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"readSeparateStripsIntoBuffer","_TIFFmemset","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_unix.c",1663,1706,349,349,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * in, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","_TIFFmemset(void *, int, tmsize_t) -> void","void * p, int v, tmsize_t c","void","void"
"readSeparateStripsIntoBuffer","TIFFError","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_error.c",1663,1706,46,46,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * in, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"readSeparateStripsIntoBuffer","TIFFReadScanline","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_read.c",1663,1706,447,447,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * in, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFReadScanline(TIFF *, void *, uint32_t, uint16_t) -> int","TIFF * tif, void * buf, uint32_t row, uint16_t sample","int","int"
"readSeparateStripsIntoBuffer","TIFFScanlineSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_strip.c",1663,1706,342,342,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * in, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"readSeparateStripsIntoBuffer","TIFFScanlineSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_strip.c",1663,1706,342,342,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * in, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"readSeparateStripsIntoBuffer","limitMalloc","/src/libtiff/tools/tiffcp.c","/src/libtiff/tools/tiffcp.c",1663,1706,108,108,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * in, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","limitMalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"readSeparateStripsIntoBuffer","exit","/src/libtiff/tools/tiffcrop.c","/usr/include/stdlib.h",5477,5683,617,617,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * in, uint8_t * obuf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","exit(int) -> void","int __status","void","void"
"readSeparateStripsIntoBuffer","memset","/src/libtiff/tools/tiffcrop.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",5477,5683,59,59,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * in, uint8_t * obuf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"readSeparateStripsIntoBuffer","TIFFGetFieldDefaulted","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_aux.c",5477,5683,377,377,"readSeparateStripsIntoBuffer(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * in, uint8_t * obuf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
