"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"writeBufferToContigTiles","TIFFGetField","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_dir.c",1944,1997,1581,1581,"writeBufferToContigTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"writeBufferToContigTiles","TIFFFileName","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_open.c",1944,1997,788,788,"writeBufferToContigTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"writeBufferToContigTiles","_TIFFfree","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_unix.c",1944,1997,345,345,"writeBufferToContigTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"writeBufferToContigTiles","TIFFTileSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_tile.c",1944,1997,253,253,"writeBufferToContigTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"writeBufferToContigTiles","TIFFTileSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_tile.c",1944,1997,253,253,"writeBufferToContigTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"writeBufferToContigTiles","_TIFFmemset","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_unix.c",1944,1997,349,349,"writeBufferToContigTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","_TIFFmemset(void *, int, tmsize_t) -> void","void * p, int v, tmsize_t c","void","void"
"writeBufferToContigTiles","TIFFWriteTile","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_write.c",1944,1997,387,387,"writeBufferToContigTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFWriteTile(TIFF *, void *, uint32_t, uint32_t, uint32_t, uint16_t) -> tmsize_t","TIFF * tif, void * buf, uint32_t x, uint32_t y, uint32_t z, uint16_t s","tmsize_t","signed long"
"writeBufferToContigTiles","TIFFWriteTile","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_write.c",1944,1997,387,387,"writeBufferToContigTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFWriteTile(TIFF *, void *, uint32_t, uint32_t, uint32_t, uint16_t) -> tmsize_t","TIFF * tif, void * buf, uint32_t x, uint32_t y, uint32_t z, uint16_t s","tmsize_t","signed long"
"writeBufferToContigTiles","TIFFError","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_error.c",1944,1997,46,46,"writeBufferToContigTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"writeBufferToContigTiles","TIFFTileRowSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_tile.c",1944,1997,177,177,"writeBufferToContigTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFTileRowSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
