"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"writeBufferToSeparateStrips","TIFFGetField","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_dir.c",1888,1941,1581,1581,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"writeBufferToSeparateStrips","TIFFGetFieldDefaulted","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_aux.c",1888,1941,377,377,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"writeBufferToSeparateStrips","TIFFFileName","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_open.c",1888,1941,788,788,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"writeBufferToSeparateStrips","_TIFFfree","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_unix.c",1888,1941,345,345,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"writeBufferToSeparateStrips","TIFFStripSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_strip.c",1888,1941,203,203,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFStripSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_strip.c",1888,1941,203,203,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFWriteEncodedStrip","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_write.c",1888,1941,215,215,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFWriteEncodedStrip","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_write.c",1888,1941,215,215,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFVStripSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_strip.c",1888,1941,141,141,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFVStripSize(TIFF *, uint32_t) -> tmsize_t","TIFF * tif, uint32_t nrows","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFVStripSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_strip.c",1888,1941,141,141,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFVStripSize(TIFF *, uint32_t) -> tmsize_t","TIFF * tif, uint32_t nrows","tmsize_t","signed long"
"writeBufferToSeparateStrips","_TIFFmemset","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_unix.c",1888,1941,349,349,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","_TIFFmemset(void *, int, tmsize_t) -> void","void * p, int v, tmsize_t c","void","void"
"writeBufferToSeparateStrips","TIFFError","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_error.c",1888,1941,46,46,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"writeBufferToSeparateStrips","limitMalloc","/src/libtiff/tools/tiffcp.c","/src/libtiff/tools/tiffcp.c",1888,1941,108,108,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","limitMalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"writeBufferToSeparateStrips","cpContigBufToSeparateBuf","/src/libtiff/tools/tiffcp.c","/src/libtiff/tools/tiffcp.c",1888,1941,1559,1559,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","cpContigBufToSeparateBuf(uint8_t *, uint8_t *, uint32_t, uint32_t, int, int, tsample_t, int) -> void","uint8_t * out, uint8_t * in, uint32_t rows, uint32_t cols, int outskew, int inskew, tsample_t spp, int bytes_per_sample","void","void"
"writeBufferToSeparateStrips","memset","/src/libtiff/tools/tiffcrop.c","/usr/include/x86_64-linux-gnu/bits/string_fortified.h",1337,1423,59,59,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","memset(void *, int, size_t) -> void *","void * __dest, int __ch, size_t __len","void *","void *"
"writeBufferToSeparateStrips","TIFFGetFieldDefaulted","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_aux.c",1337,1423,377,377,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFGetFieldDefaulted(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"writeBufferToSeparateStrips","TIFFFileName","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_open.c",1337,1423,788,788,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"writeBufferToSeparateStrips","_TIFFfree","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_unix.c",1337,1423,345,345,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"writeBufferToSeparateStrips","TIFFStripSize","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_strip.c",1337,1423,203,203,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFStripSize","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_strip.c",1337,1423,203,203,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFStripSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFWriteEncodedStrip","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_write.c",1337,1423,215,215,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFWriteEncodedStrip","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_write.c",1337,1423,215,215,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFWriteEncodedStrip(TIFF *, uint32_t, void *, tmsize_t) -> tmsize_t","TIFF * tif, uint32_t strip, void * data, tmsize_t cc","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFVStripSize","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_strip.c",1337,1423,141,141,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFVStripSize(TIFF *, uint32_t) -> tmsize_t","TIFF * tif, uint32_t nrows","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFVStripSize","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_strip.c",1337,1423,141,141,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFVStripSize(TIFF *, uint32_t) -> tmsize_t","TIFF * tif, uint32_t nrows","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFError","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_error.c",1337,1423,46,46,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"writeBufferToSeparateStrips","TIFFScanlineSize","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_strip.c",1337,1423,342,342,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"writeBufferToSeparateStrips","TIFFScanlineSize","/src/libtiff/tools/tiffcrop.c","/src/libtiff/libtiff/tif_strip.c",1337,1423,342,342,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","TIFFScanlineSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"writeBufferToSeparateStrips","limitMalloc","/src/libtiff/tools/tiffcrop.c","/src/libtiff/tools/tiffcrop.c",1337,1423,698,698,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","limitMalloc(tmsize_t) -> void *","tmsize_t s","void *","void *"
"writeBufferToSeparateStrips","dump_info","/src/libtiff/tools/tiffcrop.c","/src/libtiff/tools/tiffcrop.c",1337,1423,3126,3126,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","dump_info(FILE *, int, char *, char *) -> void","FILE * dumpfile, int format, char * prefix, char * msg","void","void"
"writeBufferToSeparateStrips","dump_buffer","/src/libtiff/tools/tiffcrop.c","/src/libtiff/tools/tiffcrop.c",1337,1423,3139,3139,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","dump_buffer(FILE *, int, uint32_t, uint32_t, uint32_t, unsigned char *) -> int","FILE * dumpfile, int format, uint32_t rows, uint32_t width, uint32_t row, unsigned char * buff","int","int"
"writeBufferToSeparateStrips","extractContigSamplesToBuffer","/src/libtiff/tools/tiffcrop.c","/src/libtiff/tools/tiffcrop.c",1337,1423,4137,4137,"writeBufferToSeparateStrips(TIFF *, uint8_t *, uint32_t, uint32_t, uint16_t, dump_opts *) -> int","TIFF * out, uint8_t * buf, uint32_t length, uint32_t width, uint16_t spp, dump_opts * dump","int","int","extractContigSamplesToBuffer(uint8_t *, uint8_t *, uint32_t, uint32_t, tsample_t, uint16_t, uint16_t, dump_opts *) -> int","uint8_t * out, uint8_t * in, uint32_t rows, uint32_t cols, tsample_t sample, uint16_t spp, uint16_t bps, dump_opts * dump","int","int"
