"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"writeBufferToSeparateTiles","TIFFGetField","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_dir.c",2000,2080,1581,1581,"writeBufferToSeparateTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFGetField(TIFF *, uint32_t) -> int","TIFF * tif, uint32_t tag","int","int"
"writeBufferToSeparateTiles","TIFFFileName","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_open.c",2000,2080,788,788,"writeBufferToSeparateTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFFileName(TIFF *) -> const char *","TIFF * tif","const char *","char *"
"writeBufferToSeparateTiles","_TIFFfree","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_unix.c",2000,2080,345,345,"writeBufferToSeparateTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","_TIFFfree(void *) -> void","void * p","void","void"
"writeBufferToSeparateTiles","TIFFTileSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_tile.c",2000,2080,253,253,"writeBufferToSeparateTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"writeBufferToSeparateTiles","TIFFTileSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_tile.c",2000,2080,253,253,"writeBufferToSeparateTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFTileSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
"writeBufferToSeparateTiles","_TIFFmemset","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_unix.c",2000,2080,349,349,"writeBufferToSeparateTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","_TIFFmemset(void *, int, tmsize_t) -> void","void * p, int v, tmsize_t c","void","void"
"writeBufferToSeparateTiles","TIFFWriteTile","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_write.c",2000,2080,387,387,"writeBufferToSeparateTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFWriteTile(TIFF *, void *, uint32_t, uint32_t, uint32_t, uint16_t) -> tmsize_t","TIFF * tif, void * buf, uint32_t x, uint32_t y, uint32_t z, uint16_t s","tmsize_t","signed long"
"writeBufferToSeparateTiles","TIFFWriteTile","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_write.c",2000,2080,387,387,"writeBufferToSeparateTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFWriteTile(TIFF *, void *, uint32_t, uint32_t, uint32_t, uint16_t) -> tmsize_t","TIFF * tif, void * buf, uint32_t x, uint32_t y, uint32_t z, uint16_t s","tmsize_t","signed long"
"writeBufferToSeparateTiles","TIFFError","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_error.c",2000,2080,46,46,"writeBufferToSeparateTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFError(const char *, const char *) -> void","const char * module, const char * fmt","void","void"
"writeBufferToSeparateTiles","TIFFTileRowSize","/src/libtiff/tools/tiffcp.c","/src/libtiff/libtiff/tif_tile.c",2000,2080,177,177,"writeBufferToSeparateTiles(TIFF *, uint8_t *, uint32_t, uint32_t, tsample_t) -> int","TIFF * out, uint8_t * buf, uint32_t imagelength, uint32_t imagewidth, tsample_t spp","int","int","TIFFTileRowSize(TIFF *) -> tmsize_t","TIFF * tif","tmsize_t","signed long"
