"caller","callee","caller_src","callee_src","start_body_start_line","start_body_end_line","end_body_start_line","end_body_end_line","caller_signature","caller_parameter_string","caller_return_type","caller_return_type_inferred","callee_signature","callee_parameter_string","callee_return_type","callee_return_type_inferred"
"usage","exit","/src/libjpeg-turbo/src/cjpeg.c","/usr/include/stdlib.h",197,266,617,617,"usage() -> void","","void","void","exit(int) -> void","int __status","void","void"
"usage","fprintf","/src/libjpeg-turbo/src/cjpeg.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",197,266,98,98,"usage() -> void","","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"usage","exit","/src/libjpeg-turbo/src/djpeg.c","/usr/include/stdlib.h",101,178,617,617,"usage() -> void","","void","void","exit(int) -> void","int __status","void","void"
"usage","fprintf","/src/libjpeg-turbo/src/djpeg.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",101,178,98,98,"usage() -> void","","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"usage","exit","/src/libjpeg-turbo/src/example.c","/usr/include/stdlib.h",564,576,617,617,"usage(const char *) -> void","const char * progname","void","void","exit(int) -> void","int __status","void","void"
"usage","fprintf","/src/libjpeg-turbo/src/example.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",564,576,98,98,"usage(const char *) -> void","const char * progname","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"usage","exit","/src/libjpeg-turbo/src/jpegtran.c","/usr/include/stdlib.h",50,103,617,617,"usage() -> void","","void","void","exit(int) -> void","int __status","void","void"
"usage","fprintf","/src/libjpeg-turbo/src/jpegtran.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",50,103,98,98,"usage() -> void","","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"usage","exit","/src/libjpeg-turbo/src/rdjpgcom.c","/usr/include/stdlib.h",394,404,617,617,"usage() -> void","","void","void","exit(int) -> void","int __status","void","void"
"usage","fprintf","/src/libjpeg-turbo/src/rdjpgcom.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",394,404,98,98,"usage() -> void","","void","void","fprintf(FILE *__restrict__, const char *__restrict__) -> int","FILE *__restrict__ __stream, const char *__restrict__ __fmt","int","int"
"usage","exit","/src/libjpeg-turbo/src/tjbench.c","/usr/include/stdlib.h",920,1045,617,617,"usage(char *) -> void","char * progName","void","void","exit(int) -> void","int __status","void","void"
"usage","printf","/src/libjpeg-turbo/src/tjbench.c","/usr/include/x86_64-linux-gnu/bits/stdio2.h",920,1045,105,105,"usage(char *) -> void","char * progName","void","void","printf(const char *__restrict__) -> int","const char *__restrict__ __fmt","int","int"
